company_linkedin_tag,name,domain,hq_country,size_band,verdict,payroll_service_confirmed,segment,evidence_url,evidence_quote,evidence_quality,reason,signals,notes,prior_segment,prior_confidence
mha-uk,MHA,mha.co.uk,GB,1001-5000,QUALIFIED,True,accountancy-practice-payroll,https://www.mha.co.uk/services/outsourcing/payroll,"We provide a fully managed payroll service... Whether you’re a single employee company or a multinational organisation, you need an efficient, reliable, and trusted payroll service.",strong,-,-,Dedicated outsourced payroll team (Assistant Payroll Manager MCIPPdip listed).,accountancy-practice-payroll,medium
tax-consultant,Tax Consultant,-,GB,1001-5000,LIKELY,False,accountancy-practice-payroll,-,-,none,-,-,"No domain on record and no evidence pack; LinkedIn name ""Tax Consultant"" looks like a mis-scraped general practice page.",accountancy-practice-payroll,medium
nessun-commento,Nessun Commento,-,GB,1001-5000,LIKELY,False,accountancy-practice-payroll,-,-,none,-,-,No domain/evidence pack; description is an independent accountancy firm despite Staffing industry tag.,accountancy-practice-payroll,high
grant-thornton-ireland,Grant Thornton Ireland,grantthornton.ie,IE,1001-5000,QUALIFIED,True,accountancy-practice-payroll,https://www.grantthornton.ie/service/audit/corporate-accounting-and-outsourcing/outsourced-payroll/,"Consider outsourcing payroll for efficient management of non-core tasks, allowing you to focus on essential aspects of your business.",strong,-,-,ROI HQ - in scope. Also runs Global Payroll Solutions for multinationals.,accountancy-practice-payroll,medium
swgroupireland,S&W Ireland,evelyn.com,IE,1001-5000,LIKELY,False,accountancy-practice-payroll,-,-,none,-,-,"S&W / Evelyn Partners Ireland. Evidence pack shows employee-benefits and employment-tax pages only, no client payroll service page found.",accountancy-practice-payroll,medium
brewin-dolphin,RBC Brewin Dolphin,brewin.co.uk,GB,1001-5000,DISQUALIFIED,False,,-,-,none,End employer only - RBC Brewin Dolphin is a wealth manager / investment manager; no evidence of processing payroll for client organisations.,-,-,accountancy-practice-payroll,medium
cooper-parry,Cooper Parry,cooperparry.com,GB,1001-5000,QUALIFIED,True,accountancy-practice-payroll,https://www.cooperparry.com/people/linda-bowley/,I head up the payroll team at Cooper Parry managing a great team of people. We have over 1200 payroll[s],strong,-,payroll leadership team in place,Payroll Director + Head of Payroll Services; full managed UK & ROI payroll and auto-enrolment.,accountancy-practice-payroll,medium
saffery,Saffery,saffery.com,GB,1001-5000,QUALIFIED,True,accountancy-practice-payroll,https://www.saffery.com/our-services/payroll-services/,Our team of payroll experts provide a full and integrated service to a wide range of clients operating large and small payrolls.,strong,-,-,-,accountancy-practice-payroll,medium
tc-group3,TC Group,tc-group.com,GB,1001-5000,QUALIFIED,True,accountancy-practice-payroll,https://www.tc-group.com/outsourcing-payroll/,"Managing complex pay structures, Benefits in Kind and statutory payments is often time-consuming and costly when done in-house.",strong,-,acquisitive partner-firm model,"Runs a ""Become a Partner Firm"" acquisition programme - ownership-change signal.",accountancy-practice-payroll,medium
menzies-llp,Menzies LLP,menzies.co.uk,GB,1001-5000,QUALIFIED,True,accountancy-practice-payroll,https://www.menzies.co.uk/services/employer-solutions/outsourced-payroll/,Paying your employees accurately and on time whilst maintaining compliance with tax and pension legislation is one of the most challenging f[unctions],strong,-,-,Describes itself as offering a payroll bureau within Employer Solutions.,accountancy-practice-payroll,high
pkf-international-limited,PKF Global,pkf.com,GB,501-1000,DISQUALIFIED,False,,-,-,none,"Network head office, not a payroll processor - PKF Global is the international network entity; payroll is delivered by legally independent member firms, several of which are separately in this list (PKF Littlejohn, PKF-Francis Clark, PKF Smith Cooper).",-,-,accountancy-practice-payroll,medium
johnston-carmichael-chartered-accountants-and-business-advisers,Johnston Carmichael Chartered Accountants and Business Advisers,johnstoncarmichael.com,GB,501-1000,QUALIFIED,True,accountancy-practice-payroll,https://johnstoncarmichael.com/our-services/payroll-services/,Running your payroll is one of the most significant operations for businesses and keeping up to date with new legislation can be challenging. Our expert team is o[n hand],strong,-,-,-,accountancy-practice-payroll,medium
dunn-motor-traction-ltd-t-a-yourbus,Looking for new opportunities,-,GB,501-1000,LIKELY,False,accountancy-practice-payroll,-,-,none,-,-,"LinkedIn page name is a placeholder (""Looking for new opportunities""); no domain, no evidence pack. Description is SME/sole-trader accounting services. Verify before outreach.",accountancy-practice-payroll,medium
francis-clark-chartered-accountants,PKF-Francis Clark Chartered accountants & business advisers,pkf-francisclark.co.uk,GB,501-1000,QUALIFIED,True,payroll-bureau,https://pkf-francisclark.co.uk/services/payroll-bureau/,Your payroll should be managed by a specialist. Paying your people correctly is one of the most important tasks in your business.,strong,-,-,"Branded FC Payroll Solutions; Poole team alone serves 600 employers / 18,000 payrolls a month.",accountancy-practice-payroll,medium
kaplan_uk,Kaplan UK,kaplan.co.uk,GB,501-1000,DISQUALIFIED,False,,-,-,none,"End employer only - Kaplan UK is an accountancy/professional training provider; it teaches payroll and accounting, it does not process payroll for client organisations.",-,-,accountancy-practice-payroll,medium
littlejohn,PKF Littlejohn,pkf-l.com,GB,501-1000,QUALIFIED,True,accountancy-practice-payroll,https://www.pkf-l.com/services/business-solutions/payroll/,Our purpose is to provide you with an efficient and professional payroll service with a focus on impeccable payroll accuracy and reduced compliance risk.,strong,-,-,-,accountancy-practice-payroll,medium
haysmac,HaysMac,haysmac.com,GB,501-1000,QUALIFIED,True,accountancy-practice-payroll,https://haysmac.com/wp-content/uploads/2025/01/HaysMac-outsourcing-pricing-1.pdf,Monthly bookkeeping... Quarterly management accounts and commentary... Quarterly VAT returns... Monthly payroll (up to 5 employees),weak,-,-,Payroll sold inside outsourcing packages; no standalone payroll service page found.,accountancy-practice-payroll,medium
kreston-reeves,Kreston Reeves,krestonreeves.com,GB,501-1000,QUALIFIED,True,accountancy-practice-payroll,https://www.krestonreeves.com/business/accounts-outsourcing/payroll/,"Managed payroll service providers in London, Kent and Sussex",strong,-,new payroll portal launched Sep 2025; CIPP Payroll Assurance Scheme reaccreditation May 2025,Active investment in payroll technology - strong timing signal.,accountancy-practice-payroll,medium
armstrong-watson,Armstrong Watson,armstrongwatson.co.uk,GB,501-1000,QUALIFIED,True,accountancy-practice-payroll,https://www.armstrongwatson.co.uk/services/payroll-and-employee-services,"Armstrong Watson delivers accurate, compliant, on time payroll & employee services for every sector",strong,-,Head of Payroll is a partner,"Payroll service running since 1974; sector-specific education/healthcare payroll (TPS, LGPS).",accountancy-practice-payroll,medium
km-chartered-accountants,KM,kmaccountants.co.uk,GB,501-1000,QUALIFIED,True,accountancy-practice-payroll,https://www.kmaccountants.co.uk/services/support-services/,the business owner has bigger things to be anxious about rather than doing the bookkeeping or running the payroll – we can free your time up to be more productive,weak,-,-,Payroll offered within Support Services; no dedicated payroll page.,accountancy-practice-payroll,medium
buzzacott,Buzzacott,buzzacott.co.uk,GB,501-1000,QUALIFIED,True,accountancy-practice-payroll,https://www.buzzacott.co.uk/payroll-services,"As your payroll partner, we’ll ensure every process is compliant and efficient. Our team works as an extension of your business",strong,-,-,Head of Payroll in Business Services since 2006.,accountancy-practice-payroll,medium
begbies-traynor-group,BTG Begbies Traynor,btguk.com,GB,501-1000,LIKELY,False,accountancy-practice-payroll,-,-,none,-,-,BTG Begbies Traynor is a corporate rescue / restructuring practice. No payroll service page found; payroll only appears describing a client deal. Verify a payroll line exists before outreach.,accountancy-practice-payroll,medium
berg-kaprow-lewis-llp,BKL,bkl.co.uk,GB,501-1000,QUALIFIED,True,accountancy-practice-payroll,https://bkl.co.uk/services/payroll/,Ensuring your employees are paid correctly and on time has always been important and is one of the many demands of running a business.,strong,-,-,Has a dedicated Head of Client Payroll.,accountancy-practice-payroll,medium
affiniagroup,Affinia,affinia.co.uk,GB,1001-5000,QUALIFIED,True,accountancy-practice-payroll,https://www.affinia.co.uk/expertise/payroll-outsourcing/,"Efficient, compliant, and scalable Payroll outsourcing services for your business.",strong,-,new Associate Director Payroll appointed Autumn 2025; fast-growing / acquisitive,Also sells a Payroll Advisory / best-practice review line.,accountancy-practice-payroll,medium
bishop-fleming-chartered-accountants,Bishop Fleming Chartered Accountants,bishopfleming.co.uk,GB,501-1000,QUALIFIED,True,accountancy-practice-payroll,https://www.bishopfleming.co.uk/services/accountancy/iris-payroll,"Managing payroll is no small feat. Constant legislative changes, compliance concerns, and the ongoing challenge of sourcing skilled payroll talent can be overwhelming",strong,-,currently runs IRIS payroll software,Runs client payroll on IRIS - direct competitor-displacement opportunity for Brain Payroll.,accountancy-practice-payroll,medium
djh-business-advisers,DJH,djhmittenclarke.co.uk,GB,501-1000,QUALIFIED,True,accountancy-practice-payroll,https://www.djh.co.uk/,Our Services ... Employment Payroll services R&D incentives Tax,weak,-,serial acquirer of practices,Site moved from djhmittenclarke.co.uk to djh.co.uk; payroll listed as a service line. Group built by repeated practice acquisitions.,accountancy-practice-payroll,medium
bdo-ireland,BDO Ireland,bdo.ie,IE,501-1000,QUALIFIED,True,accountancy-practice-payroll,https://www.bdo.ie/en-gb/services/business-services-outsourcing/outsourced-payroll-services,Experience peace of mind with BDO’s proven track record in delivering tailored payroll solutions to businesses in Ireland and abroad across diverse sectors.,strong,-,-,ROI HQ - in scope.,accountancy-practice-payroll,medium
hellodext,Dext,receipt-bank.com,GB,501-1000,DISQUALIFIED,False,,-,-,none,Software vendor - Dext (formerly Receipt Bank) sells bookkeeping/accounting automation software to practices and businesses; it does not process payroll for client organisations.,-,-,accountancy-practice-payroll,medium
hazlewoods,Hazlewoods,hazlewoods.co.uk,GB,501-1000,QUALIFIED,True,accountancy-practice-payroll,https://www.hazlewoods.co.uk/expertise/business-accountants/payroll/,"Our dedicated team will work closely with you to provide a suite of payroll, payments and pension administration services",strong,-,-,-,accountancy-practice-payroll,medium
outbooks,Outbooks,outbooks.com,GB,201-500,QUALIFIED,True,payroll-bureau,https://outbooks.com/services/payroll-services/,Payroll Outsourcing Services for Accounting Firms & Businesses,strong,-,-,Outsourcing provider to accountancy firms; also runs Ireland and Malta payroll operations.,accountancy-practice-payroll,high
bk-plus,bk plus,bkplus.co.uk,GB,501-1000,QUALIFIED,True,accountancy-practice-payroll,https://bkplus.co.uk/how-can-we-help/payroll/,Payroll can be complex at times. bk plus are here to help so you can focus on what you do best.,strong,-,"30+ offices, consolidating group",Has a Head of Payroll.,accountancy-practice-payroll,medium
financial-reporting-council,Financial Reporting Council,frc.org.uk,GB,201-500,DISQUALIFIED,False,,-,-,none,"Professional body / regulator - the Financial Reporting Council is the UK audit and reporting regulator, not a payroll processor.",-,-,accountancy-practice-payroll,medium
price-bailey,Price Bailey,pricebailey.co.uk,GB,201-500,QUALIFIED,True,accountancy-practice-payroll,https://www.pricebailey.co.uk/services/accounting/payroll/,"Your outsourced payroll service. Payroll accounting is a vital part of your business. But it can be time-consuming, and getting it right takes skill and experience.",strong,-,-,Published case study on a fully outsourced payroll for the Invictus Games Foundation.,accountancy-practice-payroll,medium
streetss,Streets,streets.uk,GB,201-500,QUALIFIED,True,accountancy-practice-payroll,https://www.streets.uk/service/payroll-services/,"secure, HMRC-compliant, and fully outsourced payroll solutions for all business sizes",strong,-,-,Publishes content targeting firms switching payroll provider.,accountancy-practice-payroll,medium
bhpaccountants,"BHP, Chartered Accountants",bhp.co.uk,GB,201-500,QUALIFIED,True,accountancy-practice-payroll,https://bhp.co.uk/service/payroll/,"At BHP, we provide a fully supported payroll service designed to keep your processes accurate, compliant, and running smoothly.",strong,-,-,"Office-level payroll pages for York, Chesterfield/Sheffield.",accountancy-practice-payroll,medium
parseq,Parseq,parseq.com,GB,201-500,QUALIFIED,True,payroll-bureau,https://www.parseq.com/finance-and-accounting-services-2/payroll-processing-and-hr-consultancy/,"Outsourced payroll processing and taxes calculation, including associated reporting. Plus guidance on critical HR processes",strong,-,-,"BPO provider, not an accountancy practice - payroll run as an outsourced service line.",accountancy-practice-payroll,medium
duncantoplis,Duncan & Toplis,duncantoplis.co.uk,GB,201-500,QUALIFIED,True,accountancy-practice-payroll,https://duncantoplis.co.uk/services/outsourcing/payroll/,"At Duncan & Toplis, we specialise in outsourcing payroll tailored to your business - no matter the size, structure, or location.",strong,-,part of Kinbrook Group - ownership consolidation,Same group as Old Mill (Kinbrook).,accountancy-practice-payroll,medium
streetsaccountants,Streets,streetsweb.co.uk,GB,201-500,LIKELY,False,accountancy-practice-payroll,-,-,none,-,-,"Duplicate of Streets (streets.uk, also in this shard): streetsweb.co.uk is the firm’s legacy domain. Payroll confirmed on streets.uk, not on this domain. De-dupe before outreach.",accountancy-practice-payroll,medium
oldmill,Old Mill,om.uk,GB,201-500,QUALIFIED,True,accountancy-practice-payroll,https://om.uk/services/payroll/,"Your people are the backbone of your business. Getting their pay right, every time and on time, is one of the most important responsibilities you manage.",strong,-,part of Kinbrook Group - ownership consolidation,Published payroll + workplace pension case study (Wildflower Turf).,accountancy-practice-payroll,medium
gravita-uk,Gravita,gravita.com,GB,201-500,QUALIFIED,True,accountancy-practice-payroll,https://www.gravita.com/our-services/payroll/,We take the pain out of payroll. Outsource your payroll to our team of professionals at Gravita.,strong,-,tech-forward / acquisitive,Cloud bookkeeping + payroll delivered through Gravita Cloud.,accountancy-practice-payroll,high
