company_name,standardised_domain,company_linkedin_tag,geography,company_size,industry
GROUNDWORKS,groundworks.com,,"Dallas, TX","#5,001-10,000#",
University of Texas at El Paso,utep.edu,,"El Paso, TX","#10,000+#",
Objectway,objectway.com,,"Milano, TX","#501-1,000#",
LuxorLink Staffing,luxorlinkstaffing.com,,"Dallas, TX","#5,001-10,000#",
Loews Hotels,loewshotels.com,,"Arlington, TX","#10,000+#",
Six Flags Entertainment Corporation,sixflags.com,,"Arlington, TX","#10,000+#",
Voca Healthcare,vocahealthcare.com,,"Humble, TX",#51-200#,
Seacrest Behavioral Health,seacrestbehavioralhealth.com,,"Dallas, TX",#51-200#,
Madisonville Care Center,madisonvillecarecenter.com,,"Madisonville, TX",#51-200#,
Christus Santa Rosa New Braunfels Hospital,christushealth.org,,"Seguin, TX","#501-1,000#",
Lifepoint Health Careers,lifepointhealth.net,,"Plano, TX","#1,001-5,000#",
Reliant Rehabilitation,reliantrehab.com,,"Whitehouse, TX","#5,001-10,000#",
Weatherford High School,weatherfordisd.com,,"Weatherford, TX",#51-200#,
Lorenzo ISD,lorenzoisd.net,,"Lorenzo, TX",#11-50#,
Seacrest Behavioral Health,seacrestrecoverycenters.com,,"Houston, TX",#51-200#,
BASIS Ed,basised.com,,"San Antonio, TX","#1,001-5,000#",
Connected Healthcare,connectedhealthcare.com,,"Cibolo, TX","#501-1,000#",
Hospital Cooperative Laundry,hospitalcooperativelaundry.com,,"Denver, CO",#51-200#,
"Terumo BCT, Inc.",terumobct.com,,"Lakewood, CO","#5,001-10,000#",
City and County of Denver,denvergov.org,,"Denver, CO","#10,000+#",
Bluebonnet Trails Community Services,bluebonnettrails.org,,"La Grange, TX","#501-1,000#",
Western,western.edu,,"Gunnison, CO","#501-1,000#",
Bartlett ISD,bartlettisd.net,,"Bartlett, TX","#501-1,000#",
THERAPY 2000,therapy2000.com,,"Elgin, TX","#1,001-5,000#",
care options for kids,careoptionsforkids.com,,"Grapeland, TX","#1,001-5,000#",
Texas Health,texashealth.org,,"Plano, TX","#10,000+#",
Mineral Wells ISD,mwisd.net,,"Mineral Wells, TX",#201-500#,
"Pueblo County, CO",pueblo.org,,"Pueblo, CO","#1,001-5,000#",
Academy School District 20,asd20.org,,"Colorado Springs, CO","#1,001-5,000#",
Eagle County School District,eagleschools.net,,"Eagle, CO","#1,001-5,000#",
Princeton Staffing Solutions,princetonstaffingsolutions.com,,"Bailey, CO",#11-50#,
Douglas County School District,dcsdk12.org,,"Parker, CO","#1,001-5,000#",
Cultivate Behavioral Health & Education,cultivatebehavioralhealth.com,,"Colorado Springs, CO","#501-1,000#",
Montrose County School District,montrose.k12.co.us,,"Denver, CO","#501-1,000#",
Bennett School District No. 29J,bsd29j.com,,"Bennett, CO",#51-200#,
Fort Lupton Weld R-8,weld8.org,,"Fort Lupton, CO","#501-1,000#",
Stargate Charter School,stargatecharter.org,,"Thornton, CO","#1,001-5,000#",
Greeley-Evans Weld County School District 6,greeleyschools.org,,"Greeley, CO","#1,001-5,000#",
Denver Public Schools,dpsk12.org,,"Denver, CO","#5,001-10,000#",
Roaring Fork School District,rfsd.k12.co.us,,"Glenwood Springs, CO","#501-1,000#",
ALOIS LLC,aloissolutions.com,,"Thornton, CO",#201-500#,
Cherry Creek School District,cherrycreekschools.org,,"Englewood, CO","#1,001-5,000#",
Tumwater School District,tumwater.k12.wa.us,,"Tumwater, WA","#501-1,000#",
Bethel School District 403,bethelsd.org,,"Spanaway, WA","#1,001-5,000#",
Bellevue School District,bsd405.org,,"Seattle, WA","#1,001-5,000#",
Heritage Heights Academy,heritageheightsacademy.org,,"Centennial, CO",#11-50#,
State of Washington,wa.gov,,"Olympia, WA","#10,000+#",
Shoreline School District,ssd412.org,,"Seattle, WA","#1,001-5,000#",
KIPP Colorado,kippcolorado.org,,"Denver, CO",#201-500#,
School District 49,d49.org,,"Peyton, CO","#1,001-5,000#",
Woven Care,wovencare.com,,"Aurora, CO",#51-200#,
Angels of Care Pediatric Home Health,angelsofcare.com,,"Commerce City, CO","#1,001-5,000#",
WELLCARE INC,wellcareco.com,,"Colorado Springs, CO","#5,001-10,000#",
EmpowerMe Wellness,empowerme.com,,"Colorado Springs, CO","#1,001-5,000#",
Connect Pediatrics,connectpediatrics.com,,"Denver, CO","#501-1,000#",
KidsCare Home Health,kidscarehomehealth.com,,"Thornton, CO","#501-1,000#",
HCA HealthONE Aurora,healthonecares.com,,"Aurora, CO","#10,000+#",
Colorado Springs Therapy Center,coloradospringstherapycenter.com,,"Colorado Springs, CO",#11-50#,
West Care Home Health Inc,wecarehomehealth.com,,"Firestone, CO","#501-1,000#",
Ernest Health,ernesthealth.com,,"Johnstown, CO","#1,001-5,000#",
BAYADA Home Health Care,bayada.com,,"Erie, CO","#10,000#",
HCA HealthONE Mountain Ridge,hcahealthcare.com,,"Thornton, CO","#501-1,000#",
Northwestern Mutual,northwesternmutual.com,,"Tacoma, WA","#5,001-10,000#",
Consolidated Metco,conmet.com,,"Vancouver, WA","#5,001-10,000#",
Axon,axon.com,,"Seattle, WA","#1,001-5,000#",
Snowflake,snowflake.com,,"Bellevue, WA (+1 other)","#5,001-10,000#",
Biolife Solutions,biolifesolutions.com,,"Bothell, WA",#201-500#,
State of Washington Dept. of Licensing,dol.wa.gov,,"Olympia, WA","#1,001-5,000#",
Prosidian Consulting,prosidian.com,,Washington,#11-50#,
Eastern Washington University,ewu.edu,,Washington,"#1,001-5,000#",
"Tacoma Public Schools, WA",tacomaschools.org,,"Bow, WA","#5,001-10,000#",
Pierce County,piercecountywa.gov,,"Tacoma, WA","#1,001-5,000#",
Winlock School District,winlockschools.org,,"Winlock, WA",#51-200#,
Highline Public Schools,highlineschools.org,,"Burien, WA","#1,001-5,000#",
Yakama Nation Legends Casino,legendscasino.com,,"Toppenish, WA","#1,001-5,000#",
Cheney Public School District 360,cheneysd.org,,"Cheney, WA","#501-1,000#",
Kennewick School District,ksd.org,,"Kennewick, WA","#1,001-5,000#",
Lake Washington School District,lwsd.org,,"Redmond, WA","#1,001-5,000#",
Northshore School District,nsd.org,,"Bothell, WA","#1,001-5,000#",
AIS Infrastructure,aisinfra.com,,"Tempe, AZ",#201-500#,
Seattle Public Schools,seattleschools.org,,Washington,"#5,001-10,000#",
Charter One,charter.one,,"Mesa, AZ",#201-500#,
Pavement Preservation Group,pavementpreservationgroup.com,,"Phoenix, AZ","#501-1,000#",
United Cerebral Palsy of Central Arizona,ucpofcentralaz.org,,"Phoenix, AZ","#501-1,000#",
"Servbank, sb Inc.",servbank.com,,"Phoenix, AZ","#1,001-5,000#",
Mayo Clinic,mayoclinic.org,,"Phoenix, AZ","#10,000+#",
Supplemental Health Care,supplementalhealthcare.com,,"Granite Falls, WA","#501-1,000#",
