name,domain,website,linkedin_url,industry,employee_range,employees_on_linkedin,hq_city,hq_state,hq_country,source
&pizza,andpizza.com,http://www.andpizza.com,https://www.linkedin.com/company/andpizza,restaurants,,598,Washington,District Of Columbia,United States,aiark
-X-,conagrafoodscareers.com,http://www.conagrafoodscareers.com,https://www.linkedin.com/company/ralcorp-holdings,food and beverage manufacturing,,1234,,,United States,aiark
1 Hotels,1hotels.com,https://www.1hotels.com,https://www.linkedin.com/company/1-hotels,Hospitality,1001-5000,3620,Miami,Florida,United States,aiark+blitz
1-800 Contacts,1800contacts.com,https://www.1800contacts.com,https://www.linkedin.com/company/1-800-contacts,retail,,606,Draper,Utah,United States,aiark
"1-800-FLOWERS.COM, INC.",1800flowersinc.com,https://www.1800flowersinc.com/careers,https://www.linkedin.com/company/1800flowers-com,Retail,1001-5000,4433,Jericho,New York,United States,aiark+blitz
100%,100percent.com,http://www.100percent.com,https://www.linkedin.com/company/ride-100-percent,retail,,1285,San Diego,California,United States,aiark
110 Grill,110grill.com,https://www.110grill.com,https://www.linkedin.com/company/110-grill,Restaurants,501-1000,570,Westford,Massachusetts,United States,aiark+blitz
1754 Properties,1754properties.com,https://www.1754properties.com,https://www.linkedin.com/company/1754-properties,Hospitality,1001-5000,15,Weston,Florida,United States,blitz
"1859 Historic Hotels, Ltd",1859historichotels.com,https://www.1859historichotels.com,https://www.linkedin.com/company/1859-historic-hotels-ltd,Hospitality,1001-5000,55,Galveston,Texas,United States,blitz
1987,shop1987.com,http://1987label.com,https://www.linkedin.com/company/1987label,retail apparel and fashion,,611,Boston,Massachusetts,United States,aiark
2020 Companies,2020companies.com,https://www.2020companies.com,https://www.linkedin.com/company/2020companies,advertising services,,2668,Southlake,Texas,United States,aiark
21c Museum Hotels,21cmuseumhotels.com,https://21cmuseumhotels.com,https://www.linkedin.com/company/21c-museum-hotels,Hospitality,1001-5000,510,Louisville,Kentucky,United States,aiark+blitz
2nd & Charles,2ndandcharles.com,https://2ndandcharles.com,https://www.linkedin.com/company/2nd-charles,Retail,501-1000,377,Birmingham,Alabama,United States,blitz
3 Day Blinds,3dayblinds.com,https://www.3dayblinds.com,https://www.linkedin.com/company/3-day-blinds,Retail,501-1000,938,Irvine,California,United States,aiark+blitz
361 Degrees International Ltd,361sport.com,http://www.361usa.com,https://www.linkedin.com/company/361-degrees-international-ltd,spectator sports,,878,1200 Main St,California,United States,aiark
3h Group,3h.group,https://3h.group,https://www.linkedin.com/company/3hgroup,Hospitality,501-1000,58,Chattanooga,Tennessee,United States,blitz
3Sixty Duty Free,3sixtydutyfree.com,https://3sixtydutyfree.com/about-us,https://www.linkedin.com/company/3sixtydutyfree,Retail,501-1000,159,North Miami,Florida,United States,blitz
4 Star Restaurant Group,4srg.com,https://4srg.com,https://www.linkedin.com/company/4starrestaurantgroup,Food and Beverage Services,501-1000,104,Chicago,Illinois,United States,blitz
48forty Solutions,48forty.com,http://www.48forty.com,https://www.linkedin.com/company/48forty,packaging and containers manufacturing,,1285,Houston,Texas,United States,aiark
4Life Research,4life.com,http://www.4life.com,https://www.linkedin.com/company/4life-research,wellness and fitness services,,5501,Sandy,Utah,United States,aiark
4R Restaurant Group,4rsmokehouse.com,https://www.4rsmokehouse.com,https://www.linkedin.com/company/4rrestaurantgroup,Food and Beverage Services,1001-5000,81,Winter Park,Florida,United States,blitz
5.11,511tactical.com,https://fiveeleven.com,https://www.linkedin.com/company/5.11,Retail,1001-5000,1938,Costa Mesa,California,United States,aiark+blitz
50 Eggs Hospitality Group,50eggsinc.com,https://50eggsinc.com,https://www.linkedin.com/company/50-eggs-hospitality-group,Restaurants,501-1000,115,Miami,Florida,United States,blitz
54th Street Restaurants,54thstreetrestaurants.com,http://www.54thStreetGrill.com,https://www.linkedin.com/company/54thstreet,restaurants,,925,North Kansas City,Missouri,United States,aiark
7 Brew Coffee,7brew.com,http://www.7brew.com,https://www.linkedin.com/company/7brewcoffee,food and beverage services,,4106,Springdale,Arkansas,United States,aiark
7 For All Mankind,7forallmankind.com,http://www.7forallmankind.com,https://www.linkedin.com/company/7-for-all-mankind,retail apparel and fashion,,911,Los Angeles,California,United States,aiark
7 Leaves Cafe,7leavescafe.com,https://www.7leavescafe.com,https://www.linkedin.com/company/7-leaves-cafe,Retail,501-1000,445,Huntington Beach,California,United States,blitz
7-11 Seven Eleven,,,https://www.linkedin.com/company/7-11-seven-eleven,retail,,2273,Costa Mesa,California,United States,aiark
7-Eleven,7-eleven.com,https://careers.7-eleven.com,https://www.linkedin.com/company/7-eleven,Retail,10001+,58851,Irving,Texas,United States,aiark+blitz
7-Eleven Stores,ok7-eleven.com,https://ok7-eleven.com,https://www.linkedin.com/company/7-eleven-stores-ok,Retail,1001-5000,469,Oklahoma City,Oklahoma,United States,blitz
84 Lumber,84lumber.com,http://www.84lumber.com,https://www.linkedin.com/company/84-lumber,wholesale building materials,,5018,Eighty Four,Pennsylvania,United States,aiark
85C Bakery Cafe,85cbakerycafe.com,http://www.85cbakerycafe.com,https://www.linkedin.com/company/85c-bakery-cafe,restaurants,,911,Brea,California,United States,aiark
900 North Michigan Shops,shop900.com,https://www.shop900.com,https://www.linkedin.com/company/900shops,Retail,1001-5000,14,Chicago,Illinois,United States,blitz
99 Cents Only Stores,99only.com,https://www.99only.com,https://www.linkedin.com/company/99-cents-only-stores,Retail,10001+,4725,Commerce,California,United States,aiark+blitz
99 Ranch Market,99ranch.com,http://www.99ranch.com,https://www.linkedin.com/company/99ranchmarket,retail,,657,Buena Park,California,United States,aiark
99 Restaurant & Pub,,,https://www.linkedin.com/company/99-restaurant-&-pub,restaurants,,1285,Manchester,New Hampshire,United States,aiark
@hotel,athotel.com,http://athotel.com,https://www.linkedin.com/company/athotel,hospitality,,1003,Distributed,,United States,aiark
A&W Food Services of Canada Inc.,aw.ca,http://www.aw.ca,https://www.linkedin.com/company/a&w-food-services-of-canada,restaurants,,5941,North Vancouver,,Canada,aiark
"A&W Restaurants, Inc.",awrestaurants.com,https://www.awrestaurants.com,https://www.linkedin.com/company/awrestaurants,restaurants,,3304,Lexington,Kentucky,United States,aiark
A-1 Hospitality Group,a1hospitalitygroup.com,https://a1hospitalitygroup.com,https://www.linkedin.com/company/a-1-hospitality-group-llc,Hospitality,501-1000,24,Kennewick,Washington,United States,blitz
