company_name,company_linkedin_tag,domain,industry,company_type,size_bucket,employees_on_linkedin,founded_year,hq_city,hq_state,hq_country
Health Advances,https://www.linkedin.com/company/health-advances,healthadvances.com,Business Consulting and Services,Privately Held,51-200,172,1992,Newton,Massachusetts,US
Geonetric,https://www.linkedin.com/company/geonetric,geonetric.com,Advertising Services,Privately Held,51-200,66,1999,Cedar Rapids,Iowa,US
Fountain,https://www.linkedin.com/company/fountaininc,fountain.com,Software Development,Privately Held,201-500,422,2014,San Francisco,California,US
Samsung Next,https://www.linkedin.com/company/samsung-next,samsungnext.com,Venture Capital and Private Equity Principals,Public Company,51-200,76,2012,Mountain View,California,US
XpertTech Inc,https://www.linkedin.com/company/xperttech-inc,xperttech.com,Information Technology and Services,Privately Held,51-200,82,2002,Woburn,Massachusetts,US
Procorp Systems,https://www.linkedin.com/company/procorp-systems,procorpsystems.com,IT Services and IT Consulting,Privately Held,201-500,77,2007,Plano,Texas,US
Appscrip,https://www.linkedin.com/company/appscrip,appscrip.com,Information Technology and Services,Public Company,51-200,167,2014,Atlanta,Georgia,US
"Tech Brains Solutions, Inc.",https://www.linkedin.com/company/techbrains-solutions-inc,techbrainscorp.com,Software Development,Privately Held,51-200,19,2014,Somerset,New Jersey,US
Corti,https://www.linkedin.com/company/corti,corti.ai,Software Development,Privately Held,51-200,135,2016,Brooklyn,New York,US
helixbeat,https://www.linkedin.com/company/helixbeat,helixbeat.com,Technology; Information and Internet,Privately Held,201-500,78,2012,Tampa,Florida,US
ServiceChannel,https://www.linkedin.com/company/servicechannel,servicechannel.com,Software Development,Privately Held,201-500,436,1999,Greenville,South Carolina,US
FM:Systems,https://www.linkedin.com/company/fmsystems,fmsystems.com,Software Development,Privately Held,201-500,161,1984,Raleigh,North Carolina,US
Healthie,https://www.linkedin.com/company/get-healthie,gethealthie.com,Technology; Information and Internet,Privately Held,51-200,194,2016,New York,-,US
OncoHealth,https://www.linkedin.com/company/oncohealth,oncohealth.us,Hospitals and Health Care,Privately Held,201-500,224,2009,Atlanta,Georgia,US
Codelogicx,https://www.linkedin.com/company/codelogicx,codelogicx.com,Software Development,Privately Held,51-200,131,2013,East Brunswick,New Jersey,US
SteadyMD,https://www.linkedin.com/company/steadymd,steadymd.com,Hospitals and Health Care,Privately Held,51-200,174,2016,St Louis,Missouri,US
wai technologies,https://www.linkedin.com/company/waitechnologies,waiin.com,IT Services and IT Consulting,Privately Held,201-500,211,2012,Santa Clara,California,US
CARPL - Radiology AI Platform,https://www.linkedin.com/company/carpl-ai,carpl.ai,Hospitals and Health Care,Privately Held,51-200,84,2018,Cupertino,California,US
Light-it,https://www.linkedin.com/company/lightit,lightit.io,Software Development,Privately Held,51-200,150,2019,Aventura,Florida,US
January Digital,https://www.linkedin.com/company/januarydigital,januarydigital.com,Marketing Services,Privately Held,51-200,102,2011,New York,New York,US
Woebot Health,https://www.linkedin.com/company/woebot-health,woebothealth.com,Mental Health Care,Privately Held,51-200,112,2017,San Francisco,California,US
Clearsense,https://www.linkedin.com/company/clearsense,clearsense.com,Software Development,Privately Held,51-200,106,2016,Brentwood,Tennessee,US
Workit Health,https://www.linkedin.com/company/workit-health,workithealth.com,Mental Health Care,Privately Held,201-500,225,2014,Ann Arbor,Michigan,US
"Easy Healthcare Corporation | easy@Home, Premom",https://www.linkedin.com/company/easy-at-home-medical-llc,premom.com,"Health, Wellness and Fitness",Privately Held,51-200,72,2013,Burr Ridge,Illinois,US
Aktana,https://www.linkedin.com/company/aktana,aktana.com,Software Development,Privately Held,201-500,136,2008,San Francisco,California,US
Kinaura Partners,https://www.linkedin.com/company/kinaura-partners-consulting,kinaura.com,Business Consulting and Services,Privately Held,51-200,35,2008,-,-,US
BB Imaging,https://www.linkedin.com/company/b-b-imaging,bbimaging.net,Hospitals and Health Care,Privately Held,51-200,136,2005,Austin,Texas,US
Evolution Infosystem,https://www.linkedin.com/company/evolution-infosystem,evolutioninfosystem.com,IT System Custom Software Development,Privately Held,51-200,67,2016,Wilmington,Delaware,US
"CONTROLTEC, LLC",https://www.linkedin.com/company/controltec-llc,control-tec.com,Motor Vehicle Manufacturing,Privately Held,51-200,23,2009,Allen Park,Michigan,US
Roko Labs,https://www.linkedin.com/company/rokolabs,rokolabs.com,IT Services and IT Consulting,Privately Held,201-500,337,2012,New York,New York,US
Global Health Visions,https://www.linkedin.com/company/kinaurapartners,globalhealthvisions.com,Business Consulting and Services,Privately Held,51-200,70,2008,Saugerties,New York,US
HTD Health,https://www.linkedin.com/company/htd-health,htdhealth.com,IT Services and IT Consulting,Privately Held,201-500,153,2016,New York,New York,US
Enkefalos Technologies,https://www.linkedin.com/company/enkefalos-technologies,enkefalos.com,Insurance,Partnership,51-200,76,2015,Austin,Texas,US
Victorious,https://www.linkedin.com/company/victorious-seo,victorious.com,Marketing Services,Privately Held,51-200,92,2013,San Francisco,California,US
Lucid Lane Inc.,https://www.linkedin.com/company/lucidlane,lucidlane.com,Hospitals and Health Care,Privately Held,51-200,23,2017,Los Altos,California,US
DECODE,https://www.linkedin.com/company/decode-advertising,decodeadvertising.com,Advertising Services,Public Company,51-200,75,2013,Houston,Texas,US
Cardinality-ai,https://www.linkedin.com/company/cardinality-ai,cardyai.com,Technology; Information and Internet,Privately Held,201-500,190,2017,Gaithersburg,Maryland,US
Stanford Federal Credit Union,https://www.linkedin.com/company/stanford-federal-credit-union,sfcu.org,Banking,Nonprofit,51-200,262,1959,-,-,US
V3iT,https://www.linkedin.com/company/v3it-consulting-inc,v3it.com,IT Services and IT Consulting,Privately Held,201-500,131,2001,Naperville,Illinois,US
"Nyne Infotech, LLC",https://www.linkedin.com/company/nyneinfo,nyneinfo.com,IT Services and IT Consulting,Self-Owned,51-200,6,2017,Miami,Florida,US
Matchbest Group,https://www.linkedin.com/company/matchbest-group,matchbest.ai,Technology; Information and Internet,Privately Held,201-500,36,-,Albuquerque,New Mexico,US
Prestige Medical Imaging,https://www.linkedin.com/company/prestigemedicalimaging,prestigemedicalimaging.com,Medical Equipment Manufacturing,Privately Held,51-200,61,2003,Newburgh,New York,US
"Qardio, Inc.",https://www.linkedin.com/company/qardio,qardio.com,Health; Wellness and Fitness,Privately Held,51-200,7,2012,San Francisco,California,US
Turning Point Global Solutions,https://www.linkedin.com/company/turningpoint-global-solutions,tpgsi.com,Software Development,Privately Held,201-500,256,2002,Rockville,Maryland,US
Zehnder Communications,https://www.linkedin.com/company/wearezehnder,z-comm.com,Advertising Services,Privately Held,51-200,66,1996,New Orleans,Louisiana,US
VeeOne Health,https://www.linkedin.com/company/veeonehealth-inc,veeonehealth.com,Hospitals and Health Care,Privately Held,51-200,47,2016,Roseville,California,US
B-FLEXION,https://www.linkedin.com/company/b-flexion,bflexion.com,Investment Management,Privately Held,51-200,133,-,-,-,US
InformedDNA,https://www.linkedin.com/company/informeddna,informeddna.com,Hospitals and Health Care,Privately Held,51-200,90,2007,St Petersburg,Florida,US
WellSpark,https://www.linkedin.com/company/wellspark,wellsparkhealth.com,Wellness and Fitness Services,Privately Held,51-200,38,2013,Farmington,Connecticut,US
Excel™,https://www.linkedin.com/company/excelimpact,excelimpact.com,Insurance,Privately Held,51-200,377,2013,Miami,Florida,US
Epik Solutions,https://www.linkedin.com/company/epikso,epikso.com,Information Technology and Services,Privately Held,201-500,162,2015,Pleasant Hill,California,US
Epic Placements,https://www.linkedin.com/company/epicplacements,epicplacements.com,Staffing and Recruiting,Privately Held,51-200,8,2017,Denver,Colorado,US
"Ekloud, Inc.",https://www.linkedin.com/company/ekloud,ekloudservices.com,Technology; Information and Internet,Privately Held,51-200,75,2022,Sheridan,Wyoming,US
"X2 Logics Staffing Solution, Inc.",https://www.linkedin.com/company/x2logicsstaffingsolution,x2logicsstaffingsolution.com,Staffing and Recruiting,Partnership,51-200,39,2019,Pembroke Pines,Florida,US
IntelyCare,https://www.linkedin.com/company/intelycare,intelycare.com,Staffing and Recruiting,Privately Held,201-500,2077,2014,Quincy,Massachusetts,US
Lark Health,https://www.linkedin.com/company/lark-health,lark.com,Hospitals and Health Care,Privately Held,51-200,126,2011,Mountain View,California,US
