company_name,company_linkedin_tag,domain,industry,company_type,size_bucket,employees_on_linkedin,founded_year,hq_city,hq_state,hq_country
Brooks Rehabilitation,https://www.linkedin.com/company/brooks-rehabilitation,brooksrehab.org,Hospitals and Health Care,Nonprofit,1001-5000,1861,1970,Jacksonville,Florida,US
Kyruus Health,https://www.linkedin.com/company/kyruushealth,kyruushealth.com,Hospitals and Health Care,Privately Held,201-500,263,2010,Boston,Massachusetts,US
Unify Healthcare Services,https://www.linkedin.com/company/unify-healthcare-services,unifyrcm.com,Hospitals and Health Care,Privately Held,1001-5000,704,2016,Cuyahoga Falls,Ohio,US
San Francisco Health Plan,https://www.linkedin.com/company/san-francisco-health-plan,sfhp.org,Hospitals and Health Care,Nonprofit,201-500,421,1997,San Francisco,California,US
GetixHealth,https://www.linkedin.com/company/getixhealth,getixhealth.com,Hospitals and Health Care,Privately Held,1001-5000,1176,2012,Sugar Land,Texas,US
Holy Cross Health,https://www.linkedin.com/company/holy-cross-health,holycrosshealth.org,Hospitals and Health Care,Nonprofit,1001-5000,3015,1963,Silver Spring,Maryland,US
Onvida Health,https://www.linkedin.com/company/onvidahealth,onvidahealth.org,Hospitals and Health Care,Nonprofit,1001-5000,1862,1958,Yuma,Arizona,US
Bayhealth,https://www.linkedin.com/company/bayhealth-medical-center,bayhealth.org,Hospitals and Health Care,Nonprofit,1001-5000,2656,-,Dover,Delaware,US
Genova Diagnostics,https://www.linkedin.com/company/genova-diagnostics-inc-,gdx.net,Hospitals and Health Care,Privately Held,201-500,339,1987,Asheville,North Carolina,US
+MEDRITE Urgent Care,https://www.linkedin.com/company/medriteurgentcare,medriteurgentcare.com,Hospitals and Health Care,Privately Held,1001-5000,665,2010,New York,New York,US
Krames (Now WebMD Ignite),https://www.linkedin.com/company/krames,webmdignite.com,Hospitals and Health Care,Privately Held,201-500,29,1978,Newark,New Jersey,US
Summit BHC,https://www.linkedin.com/company/summit-behavioral-healthcare,summitbhc.com,Hospitals and Health Care,Privately Held,1001-5000,2746,-,Franklin,Tennessee,US
PerfectServe,https://www.linkedin.com/company/perfectserve,perfectserve.com,Hospitals and Health Care,Privately Held,201-500,339,1997,Miami,Florida,US
