domain,company_name,company_linkedin,website,employees,employee_range,year_founded,company_type,industry,hq_city,hq_region,hq_country,description,campaign,sourcing_reasoning
intuitive.com,Intuitive,-,http://www.intuitive.com,12945,10001+,1995,Public Company,Medical Equipment Manufacturing,Sunnyvale,California,United States,"Intuitive (Nasdaq: ISRG), headquartered in Sunnyvale, Calif., is a global technology leader in minimally invasive care and the pioneer of robotic-assisted surgery. At Intuitive, we believe that minimally invasive care is life-enhancing care. Through ingenuity and intelligent technology, we expand the potential of physicians to heal without constraints.","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (12945 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
edwards.com,Edwards Lifesciences,-,http://www.edwards.com,14045,10001+,1958,Public Company,Medical Equipment Manufacturing,Irvine,California,United States,"Edwards Lifesciences (NYSE: EW), is the leading global structural heart innovation company, driven by a passion to improve patient lives. Through breakthrough technologies, world-class evidence and partnerships with clinicians and healthcare stakeholders, our employees are inspired by our patient-focused culture to deliver life-changing innovations to those who need them most.   We thrive on discovery and expanding the boundaries of medical technology, serving patients in 100+ countries, with th","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (14045 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
beckmancoulter.com,Beckman Coulter Diagnostics,-,https://www.beckmancoulter.com,10628,10001+,1935,Public Company,Medical Equipment Manufacturing,Brea,California,United States,"A global leader in advanced diagnostics, Beckman Coulter has challenged convention to elevate the diagnostic laboratory’s role in improving patient health for more than 80 years. Our mission is to Relentlessly Reimagine Healthcare, One Diagnosis at a Time – and we do this by applying the power of science, technology and the passion and creativity of our teams. Our diagnostic solutions are used in complex clinical testing, and are found in hospitals, reference laboratories and physician office se","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (10628 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
arthrex.com,Arthrex,-,http://www.Arthrex.com,9115,10001+,-,Privately Held,Medical Equipment Manufacturing,Naples,Florida,United States,"Arthrex is a global medical device company and leader in new product development and medical education in orthopedics. With a corporate mission of Helping Surgeons Treat Their Patients Better®, Arthrex has pioneered the field of arthroscopy and developed more than 1,000 innovative products and surgical procedures each year to advance minimally invasive orthopedics worldwide.   Arthrex continues to experience unprecedented growth and demand for our products throughout the world; however, we remai","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (9115 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
conmed.com,CONMED Corporation,-,http://www.conmed.com/,3378,1001-5000,1970,Public Company,Medical Equipment Manufacturing,-,Florida,United States,"CONMED is a global medical technology company that specializes in the development and sale of surgical and patient monitoring products and services that allow our physician customers to deliver high quality care and as a result, enhanced clinical outcomes for their patients.  With products that are recognized as technological leaders by the specialties they serve, healthcare professionals within the Orthopedic, Laparoscopic, Robotic & Open Surgery, Gastroenterology & Pulmonology and Cardiology &","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (3378 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
aligntech.com,Align Technology,-,http://www.aligntech.com,13266,10001+,1997,Public Company,Medical Equipment Manufacturing,Tempe,Arizona,United States,"We are dedicated to transforming lives by improving the journey to a healthy, beautiful smile.   Discover your straight path to a bright future at Align Technology. As a part of our smart, diverse and fast-moving global team, you'll make an impact on the market leader that's moving an industry forward.    Want to find out what's next for us—and for you? Follow us on LinkedIn for business updates and check out our current opportunities at www.aligntech.com/careers.    25 years ago, we pioneered t","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (13266 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
hologic.com,"Hologic, Inc.",-,http://www.hologic.com,6869,5001-10000,1985,Privately Held,Medical Equipment Manufacturing,Marlborough,Massachusetts,United States,"We’re an innovative medical technology company whose purpose is to enable healthier lives everywhere, every day. While we discover and develop groundbreaking products and services that benefit everyone, we are especially passionate about those that advance women’s health and well-being. This allows us to be a company that prospers, grows and empowers women to experience healthier lives.  None of this would be possible without the talent, skills and aspirations of our employees. Their expertise a","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (6869 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
resmed.com,Resmed,-,https://www.resmed.com,8994,5001-10000,-,Public Company,Medical Equipment Manufacturing,San Diego,California,United States,"We believe shaping a better world starts with better sleep and breathing, which is why we pioneer innovative solutions to help millions of people in more than 140 countries around the world live happier, healthier lives. Our AI-powered digital health solutions, cloud-connected devices and intelligent software make home healthcare more personalized, accessible and effective.","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (8994 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
dexcom.com,Dexcom,-,https://careers.dexcom.com/careers/index,8782,10001+,-,Public Company,Medical Equipment Manufacturing,San Diego,California,United States,"Empowering People to Take Control of Health  Dexcom Corporation (NASDAQ DXCM) has been a pioneer in glucose sensing for more than 25 years. Since 1999, we have developed innovative technologies that transformed how people manage diabetes. Our products are part of people’s daily lives, empowering them to live confidently and feel more in control, free to pursue their dreams.   Headquartered in San Diego, California, with operations around the world, Dexcom leads by listening to the needs of users","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (8782 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
teleflex.com,Teleflex,-,http://www.teleflex.com,9872,10001+,-,Public Company,Medical Equipment Manufacturing,Wayne,New Jersey,United States,"As a global provider of medical technologies, Teleflex is driven by our purpose to improve the health and quality of people’s lives. Through our vision to become the most trusted partner in healthcare, we offer a diverse portfolio with solutions in the therapy areas of anesthesia, emergency medicine, interventional cardiology and radiology, surgical, vascular access, and urology. We believe that the potential of great people, purpose driven innovation, and world-class products can shape the futu","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (9872 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
