domain,company_name,company_linkedin,website,employees,employee_range,year_founded,company_type,industry,hq_city,hq_region,hq_country,description,campaign,config_slug,sourcing_reasoning
vuventurepartners.com,VU Venture Partners,https://www.linkedin.com/company/vu-venture-partners,https://www.vuventurepartners.com,276,201-500,2018,Privately Held,Venture Capital and Private Equity Principals,San Francisco,California,United States,"VU Venture Partners is a multi-stage venture capital fund focusing on Consumer, Enterprise, FinTech, Frontier, Healthcare, and PropTech",NewCo Countdown — Sponsor Side,newco-countdown-sponsor-side,"Matched Blitz industry filter 'Venture Capital and Private Equity(-Principals)' + keyword match on healthcare/medical device/medtech (specialties: venture capital, private equity, angel investing, consumer, enterprise, fintech, blockchain, healthcare, frontier tech, real estate tech), US HQ, 11-1000 employee range as a proxy for the segment's operating-partner-bearing PE firm size. This confirms the firm is a healthcare/medtech-focused investor — it does NOT verify the specific triggers the campaign requires: a stated carve-out/divestiture strategy, deal sizes $200M-$2B EV, or a current/recently-announced medtech separation in the portfolio. Those need per-firm verification against 8-K filings, the firm's own portfolio/news page, MedTech Dive, MassDevice, or the Lawrence Evans weekly M&A digest, per the campaign brief's own source list."
oneequity.com,One Equity Partners,https://www.linkedin.com/company/one-equity-partners,https://www.oneequity.com,111,11-50,2001,Partnership,Venture Capital and Private Equity Principals,New York,New York,United States,"One Equity Partners is a middle market private equity firm with approximately $10 billion in assets under management focused on transformative combinations within the industrial, healthcare and technology sectors in North America and Europe. The firm seeks to build market-leading companies by identifying and executing transformative business combinations. OEP is a trusted partner with a differentiated investment process, a broad and senior team, and an established track record generating long-te",NewCo Countdown — Sponsor Side,newco-countdown-sponsor-side,"Matched Blitz industry filter 'Venture Capital and Private Equity(-Principals)' + keyword match on healthcare/medical device/medtech (specialties: -), US HQ, 11-1000 employee range as a proxy for the segment's operating-partner-bearing PE firm size. This confirms the firm is a healthcare/medtech-focused investor — it does NOT verify the specific triggers the campaign requires: a stated carve-out/divestiture strategy, deal sizes $200M-$2B EV, or a current/recently-announced medtech separation in the portfolio. Those need per-firm verification against 8-K filings, the firm's own portfolio/news page, MedTech Dive, MassDevice, or the Lawrence Evans weekly M&A digest, per the campaign brief's own source list."
versantventures.com,Versant Ventures,https://www.linkedin.com/company/versant-ventures,https://www.versantventures.com,76,11-50,1999,Partnership,Venture Capital and Private Equity Principals,San Francisco,California,United States,"Versant Ventures is a leading healthcare investment firm committed to helping exceptional entrepreneurs build the next generation of great companies. The firm’s emphasis is on biotechnology companies that are discovering and developing novel therapeutics. With $2.4 billion under management and offices in the U.S., Canada and Europe, Versant has built a team with deep investment, operating and clinical expertise that enables a hands-on approach to company building. Since the firm’s founding in 19",NewCo Countdown — Sponsor Side,newco-countdown-sponsor-side,"Matched Blitz industry filter 'Venture Capital and Private Equity(-Principals)' + keyword match on healthcare/medical device/medtech (specialties: biopharmaceuticals, medical devices, life science opportunities, venture capital, company creation), US HQ, 11-1000 employee range as a proxy for the segment's operating-partner-bearing PE firm size. This confirms the firm is a healthcare/medtech-focused investor — it does NOT verify the specific triggers the campaign requires: a stated carve-out/divestiture strategy, deal sizes $200M-$2B EV, or a current/recently-announced medtech separation in the portfolio. Those need per-firm verification against 8-K filings, the firm's own portfolio/news page, MedTech Dive, MassDevice, or the Lawrence Evans weekly M&A digest, per the campaign brief's own source list."
saigroup.ai,SAIGroup,https://www.linkedin.com/company/sai-group-investments,https://saigroup.ai,36,11-50,2017,Privately Held,Venture Capital and Private Equity Principals,Palo Alto,California,United States,"SAIGroup is a private investment company focused on acquiring and growing enterprise AI companies. The SAIGroup portfolio includes SymphonyAI, ConcertAI, and RhythmX AI.",NewCo Countdown — Sponsor Side,newco-countdown-sponsor-side,"Matched Blitz industry filter 'Venture Capital and Private Equity(-Principals)' + keyword match on healthcare/medical device/medtech (specialties: ai, investment, enterprise software, healthcareai, industrialai, retailai, ai in finance, saas, precision healthcare, media ai, enterprise ai, ai saas), US HQ, 11-1000 employee range as a proxy for the segment's operating-partner-bearing PE firm size. This confirms the firm is a healthcare/medtech-focused investor — it does NOT verify the specific triggers the campaign requires: a stated carve-out/divestiture strategy, deal sizes $200M-$2B EV, or a current/recently-announced medtech separation in the portfolio. Those need per-firm verification against 8-K filings, the firm's own portfolio/news page, MedTech Dive, MassDevice, or the Lawrence Evans weekly M&A digest, per the campaign brief's own source list."
amractionfund.com,AMR Action Fund,https://www.linkedin.com/company/amr-action-fund,https://amractionfund.com,25,11-50,2020,Privately Held,Venture Capital and Private Equity Principals,Boston,Massachusetts,United States,"The AMR Action Fund is a groundbreaking VC fund that enables breakthroughs in the development of antibiotics, anti-fungals, and other antimicrobials. We invest in companies developing innovative treatments for priority drug-resistant pathogens and advocate for market reforms and policy solutions to change how society values these lifesaving drugs.",NewCo Countdown — Sponsor Side,newco-countdown-sponsor-side,"Matched Blitz industry filter 'Venture Capital and Private Equity(-Principals)' + keyword match on healthcare/medical device/medtech (specialties: investing, investment, healthcare, biotech, research and development, pharmaceutical, antibiotics, antimicrobial resistance, amr, venture capital, private equity), US HQ, 11-1000 employee range as a proxy for the segment's operating-partner-bearing PE firm size. This confirms the firm is a healthcare/medtech-focused investor — it does NOT verify the specific triggers the campaign requires: a stated carve-out/divestiture strategy, deal sizes $200M-$2B EV, or a current/recently-announced medtech separation in the portfolio. Those need per-firm verification against 8-K filings, the firm's own portfolio/news page, MedTech Dive, MassDevice, or the Lawrence Evans weekly M&A digest, per the campaign brief's own source list."
sopriscapital.com,Sopris Capital,https://www.linkedin.com/company/sopris-capital,https://sopriscapital.com,34,11-50,2002,Privately Held,Venture Capital and Private Equity Principals,Aspen,Colorado,United States,"As a 20-year-old investment firm with a single source of long-term capital, we have the flexibility and agility needed to act quickly and to deploy our knowledge, networks, and expertise in support of our partners and the value creation process.  Our team members hail from leading investment firms including; Welsh Carson Anderson & Stowe, Blackrock, Citi Group, Black Diamond Capital Management, and Macquarie Group.   We have offices in Aspen, Dallas, Denver, and Miami, enabling us to have an on-",NewCo Countdown — Sponsor Side,newco-countdown-sponsor-side,"Matched Blitz industry filter 'Venture Capital and Private Equity(-Principals)' + keyword match on healthcare/medical device/medtech (specialties: venture capital, growth equity infusions, healthcare services, technology enabled b2b services, ai / ml, saas, private equity, real estate, healthcare data), US HQ, 11-1000 employee range as a proxy for the segment's operating-partner-bearing PE firm size. This confirms the firm is a healthcare/medtech-focused investor — it does NOT verify the specific triggers the campaign requires: a stated carve-out/divestiture strategy, deal sizes $200M-$2B EV, or a current/recently-announced medtech separation in the portfolio. Those need per-firm verification against 8-K filings, the firm's own portfolio/news page, MedTech Dive, MassDevice, or the Lawrence Evans weekly M&A digest, per the campaign brief's own source list."
nlvc.com,NLVC,https://www.linkedin.com/company/nlvc,https://www.nlvc.com,86,11-50,2005,Privately Held,Venture Capital and Private Equity Principals,Menlo Park,California,United States,"About NLVC  Founded in 2005, NLVC is a leading venture capital firm specializing in early-stage enterprise technology, healthcare, and consumer technology companies. With $4.5 billion in capital under management, more than 300 investments and over 50 successful exits, NLVC partners with global entrepreneurs in particular seeking global expansion opportunities, and helps build great, sustainable global companies that change society. NLVC is led by experienced entrepreneurs, operators, and investo",NewCo Countdown — Sponsor Side,newco-countdown-sponsor-side,"Matched Blitz industry filter 'Venture Capital and Private Equity(-Principals)' + keyword match on healthcare/medical device/medtech (specialties: entrepreneurship, venture capital, technology, early stage, mobile, ai, advanced manufacturing, enterprise, healthcare, consumer), US HQ, 11-1000 employee range as a proxy for the segment's operating-partner-bearing PE firm size. This confirms the firm is a healthcare/medtech-focused investor — it does NOT verify the specific triggers the campaign requires: a stated carve-out/divestiture strategy, deal sizes $200M-$2B EV, or a current/recently-announced medtech separation in the portfolio. Those need per-firm verification against 8-K filings, the firm's own portfolio/news page, MedTech Dive, MassDevice, or the Lawrence Evans weekly M&A digest, per the campaign brief's own source list."
riversidepartners.com,Riverside Partners,https://www.linkedin.com/company/riverside-partners,https://www.riversidepartners.com,39,11-50,1989,Partnership,Venture Capital and Private Equity Principals,Boston,Massachusetts,United States,"Founded in 1989, Riverside Partners is a Boston-based middle market private equity firm currently investing Riverside Fund VI, L.P. The fund focuses on growth-oriented companies primarily in the healthcare and technology industries. Riverside Partners is particularly experienced at partnering with founders, owners and management teams and it brings substantial domain expertise and operating experience to its portfolio companies.  Riverside typically invests in North American companies with $3-15",NewCo Countdown — Sponsor Side,newco-countdown-sponsor-side,"Matched Blitz industry filter 'Venture Capital and Private Equity(-Principals)' + keyword match on healthcare/medical device/medtech (specialties: healthcare investing, technology investing, hcit), US HQ, 11-1000 employee range as a proxy for the segment's operating-partner-bearing PE firm size. This confirms the firm is a healthcare/medtech-focused investor — it does NOT verify the specific triggers the campaign requires: a stated carve-out/divestiture strategy, deal sizes $200M-$2B EV, or a current/recently-announced medtech separation in the portfolio. Those need per-firm verification against 8-K filings, the firm's own portfolio/news page, MedTech Dive, MassDevice, or the Lawrence Evans weekly M&A digest, per the campaign brief's own source list."
civilizationventures.com,Civilization Ventures,https://www.linkedin.com/company/civilizationventures,https://www.civilizationventures.com,8,11-50,2017,Privately Held,Venture Capital and Private Equity Principals,San Francisco,California,United States,"At CV, we champion visionary founders tackling the most critical challenges in biology and healthcare. With a portfolio worth $9.7B, encompassing 64 companies and 9 successful exits, we provide the capital and resources necessary for innovators to thrive.",NewCo Countdown — Sponsor Side,newco-countdown-sponsor-side,"Matched Blitz industry filter 'Venture Capital and Private Equity(-Principals)' + keyword match on healthcare/medical device/medtech (specialties: -), US HQ, 11-1000 employee range as a proxy for the segment's operating-partner-bearing PE firm size. This confirms the firm is a healthcare/medtech-focused investor — it does NOT verify the specific triggers the campaign requires: a stated carve-out/divestiture strategy, deal sizes $200M-$2B EV, or a current/recently-announced medtech separation in the portfolio. Those need per-firm verification against 8-K filings, the firm's own portfolio/news page, MedTech Dive, MassDevice, or the Lawrence Evans weekly M&A digest, per the campaign brief's own source list."
angelmd.co,AngelMD,https://www.linkedin.com/company/angelmd,https://www.angelmd.co,21,11-50,2013,Privately Held,Venture Capital and Private Equity Principals,Denver,Colorado,United States,"Based in Denver, Colorado, AngelMD is a healthcare-focused investing platform that connects leading healthcare startups from all over the world with investors, physicians, industry executives and private capital to create a more efficient path from investment to exit while de-risking investments in the process, leading to better outcomes.    We welcome all healthcare startups to create a profile on our site. Even if you are not currently looking for funding, create a profile to be connected to i",NewCo Countdown — Sponsor Side,newco-countdown-sponsor-side,"Matched Blitz industry filter 'Venture Capital and Private Equity(-Principals)' + keyword match on healthcare/medical device/medtech (specialties: angel/venture investing, digital health, medical device, medical start-ups, internet, biotechnology, pharmaceutical, medicine), US HQ, 11-1000 employee range as a proxy for the segment's operating-partner-bearing PE firm size. This confirms the firm is a healthcare/medtech-focused investor — it does NOT verify the specific triggers the campaign requires: a stated carve-out/divestiture strategy, deal sizes $200M-$2B EV, or a current/recently-announced medtech separation in the portfolio. Those need per-firm verification against 8-K filings, the firm's own portfolio/news page, MedTech Dive, MassDevice, or the Lawrence Evans weekly M&A digest, per the campaign brief's own source list."
