segment,name,domain,linkedin,naics,is_mfg,about,source
Astec-like,Aggregate Industries UK,aggregate.com,https://www.linkedin.com/company/aggregate-industries-uk,"327390,237310,212319,212321",True,We are committed to creating a better built environment through sustainable approaches. A member of Holcim.,AI Ark lookalike + NAICS filter
Astec-like,Knife River Corporation,kniferiver.com,https://www.linkedin.com/company/knife-river-corporation,"237310,423320,327320",True,"Knife River is one of the top 10 aggregate, ready-mix and sand and gravel producers in the nation. At peak construction season we employ more than 5,0",AI Ark lookalike + NAICS filter
Astec-like,Heidelberg Materials UK,heidelbergmaterials.co.uk,https://www.linkedin.com/company/heidelbergmaterialsuk,"424210,562998,327320",True,Heidelberg Materials UK (formerly Hanson UK) is a leading supplier of lower carbon heavy building materials to the construction industry. We produce a,AI Ark lookalike + NAICS filter
Astec-like,CalPortland,calportland.com,https://www.linkedin.com/company/calportland,"327120,327310,423320,325130",True,"Established in 1891, CalPortland is a major building materials and construction solutions provider to the Western United States and Canada.  We  provi",AI Ark lookalike + NAICS filter
Astec-like,Cemex México,cemexmexico.com,https://www.linkedin.com/company/cemex-m-xico,"321211,423990,325412",True,120 años construyendo confianza juntos. Somos una empresa líder en materiales y soluciones de construcción sostenibles que tiene como eje central a la,AI Ark lookalike + NAICS filter
Astec-like,Construction Partners,constructionpartners.net,https://www.linkedin.com/company/constructionpartners,"237310,324121",True,"Founded in 2001, Construction Partners (Nasdaq: ROAD) was built on a clear and focused vision: to acquire and partner with locally led infrastructure ",AI Ark lookalike + NAICS filter
Astec-like,Allan Myers Inc.,allanmyers.com,https://www.linkedin.com/company/allanmyersinc,236210,False,Allan Myers is a leading heavy civil construction company and construction materials provider in the Mid-Atlantic with eight regional offices and 24 a,AI Ark lookalike + NAICS filter
Astec-like,Eurovia France,eurovia.fr,https://www.linkedin.com/company/euroviafrance,"237310,237110,236220",False,"Partenaire des territoires, Eurovia (métiers Route France de VINCI Construction) développe des solutions de mobilité pour améliorer la compétitivité é",AI Ark lookalike + NAICS filter
Astec-like,Colas France,colas.com,https://www.linkedin.com/company/colas-france,"551112,236116,236220",False,"Le groupe Colas est leader mondial de la construction, de l'entretien et de la maintenance des infrastructures de transport.  Notre mission ? Imaginer",AI Ark lookalike + NAICS filter
Astec-like,Park Paving Ltd.,parkpaving.com,https://www.linkedin.com/company/park-paving-ltd-,"237310,812990",False,Park Paving Ltd. is one of Edmonton's largest locally owned and operated road construction contractors specializing in all aspects asphalt and concret,AI Ark lookalike + NAICS filter
