3D Model,Group,Exhibitor Name,Website,Total Revenue,Industry,Products,ICP
CNC Machine,Machine Tools & Fabrication Machinery,ALFING CORPORATION,alfing.de,$200M-$400M (est.),Machining and assembly systems,"Crankshafts, machining lines, and assembly technology",Yes
CNC Machine,Machine Tools & Fabrication Machinery,AM Solutions: A Brand of the Rosler Group,solutions-for-am.com,"$300M-$400M (Rosler group, est.)",Additive post-processing,3D printing post-processing and surface finishing equipment,Yes
CNC Machine,Machine Tools & Fabrication Machinery,Amada Machinery America,amadamachinery.com,"$2.6B (Amada group, FY2024)",Machine tools,"Band saws, saw blades, and grinding machines",Yes
CNC Machine,Machine Tools & Fabrication Machinery,ANCA CNC Machines,anca.com,$200M-$300M (est.),Tool grinding machines,CNC tool and cutter grinders,Yes
CNC Machine,Machine Tools & Fabrication Machinery,"Behringer Saws, Inc.",behringersaws.com,$100M-$200M (est.),Sawing machines,"Band saws, circular saws, and structural steel processing",Yes
CNC Machine,Machine Tools & Fabrication Machinery,"Bystronic, Inc.",bystronic.com,~$800M (2024),Sheet metal machinery,"Laser cutting systems, press brakes, and automation",Yes
CNC Machine,Machine Tools & Fabrication Machinery,"Chiron America, Inc.",chiron-group.com,"$650M (Chiron Group, est.)",CNC machine tools,High-speed vertical and mill-turn machining centers,Yes
CNC Machine,Machine Tools & Fabrication Machinery,CMS / DMS,Unknown,$100M-$300M (est.),CNC machine tools,5-axis CNC routers and machining centers for composites and metals,Yes
CNC Machine,Machine Tools & Fabrication Machinery,DANOBAT Inc.,danobat.com,"$250M-$300M (group, est.)",Machine tools,"Grinding, turning, and sawing machines",Yes
CNC Machine,Machine Tools & Fabrication Machinery,Deublin Company,deublin.com,$100M-$200M (est.),Rotary unions,Rotary unions and steam joints for machine tools,Yes
CNC Machine,Machine Tools & Fabrication Machinery,DN Solutions America,dn-solutions.com,$1.5B-$2B (est.),CNC machine tools,"CNC lathes, machining centers, and turning centers",Yes
CNC Machine,Machine Tools & Fabrication Machinery,DVS Technology Group,dvs-technology.com,$250M-$300M (est.),Machine tools,"Gear grinding, honing, and hard-fine machining systems",Yes
CNC Machine,Machine Tools & Fabrication Machinery,EMAG LLC,emag.com,"$800M (group, est.)",CNC machine tools,"Inverted vertical turning, grinding, and gear machining systems",Yes
