sector_code,sector_name,company_name,website,domain,linkedin_url,matched_name,industry,employees,revenue,country,hq_city,about
TOOL,Tooling & Workholding,3nine USA,https://www.3nine.us/,3nine.us,https://www.linkedin.com/company/3nine-usa-inc,"3nine USA, Inc",Machinery Manufacturing,14,-,US,Charlotte,3nine USA Inc. delivers smarter oil mist separation for the metalworking industry. Our patented disc stack technology separates 99.9% of oil mist directly at the source—resulting i
TOOL,Tooling & Workholding,5th Axis Inc.,https://www.5thaxis.com,5thaxis.com,https://www.linkedin.com/company/5th-axis-fixtures,5th Axis Workholding,Machinery Manufacturing,62,-,US,San Diego,"5th Axis is a global leader in automated production, manufacturing, and machining. We offer an extensive range of workholding solutions, automation solutions, and CNC machine produ"
TOOL,Tooling & Workholding,"A&W TOOL, INC.",https://www.awtoolinc.com,awtoolinc.com,-,-,-,-,-,-,-,-
TOOL,Tooling & Workholding,A'S PRECISION MACHINING LTD,http://wwww.asprecisionmachining.com,wasprecisionmachining.com,-,-,-,-,-,-,-,-
TOOL,Tooling & Workholding,AB Tools Inc.,https://abtoolsinc.com/,abtoolsinc.com,https://www.linkedin.com/company/a-b-tools-inc,A B Tools Inc,Machinery Manufacturing,3,-,US,Lincoln,Manufacturing High Performance Rotary Cutting Tools since 1977.
TOOL,Tooling & Workholding,ABS Import Tools Inc.,https://www.absimporttools.com/,absimporttools.com,https://www.linkedin.com/company/abs-import-tools,Abs Import Tools,-,4,-,US,Chino,-
TOOL,Tooling & Workholding,ACCF International Inc - SLOKY USA,http://www.slokyusa.com,slokyusa.com,https://www.linkedin.com/company/slokyusa,SLOKY USA,Industrial Machinery Manufacturing,-,-,US,Irwindale,"SmartEase Torque. Everywhere Precision Matters. We specialize in compact, preset torque adapters designed for engineers working in high-stakes environments — from datacenter server"
TOOL,Tooling & Workholding,"ACCU-CUT Industrial Co., Ltd",https://www.accu-cut.com.tw/,accu-cut.com.tw,-,-,-,-,-,-,-,-
TOOL,Tooling & Workholding,Accutek,http://www.accutekusa.com,accutekusa.com,https://www.linkedin.com/company/accutekusa,Accutek Inc.,Machinery Manufacturing,6,-,US,Addison,Accutek® is a premier manufacturer of tool holding and work holding solutions. Given the constant evolution of tooling and machining technology plus the ever-increasing needs of ou
TOOL,Tooling & Workholding,"Acena Consulting, LLC",https://www.acenaconsulting.com/,acenaconsulting.com,https://www.linkedin.com/company/acena-consulting-llc,"Acena Consulting, LLC",Accounting,11,-,US,Westlake Village,"Acena Consulting is your expert research and development tax credit partner. We help CPAs, business owners, and accounting and finance professionals evaluate and qualify innovation"
TOOL,Tooling & Workholding,Achieve Technologies Inc,https://livetoolsdirect.com/,livetoolsdirect.com,-,-,-,-,-,-,-,-
TOOL,Tooling & Workholding,ADICO,https://adico-polydiamond.com/,adico-polydiamond.com,-,-,-,-,-,-,-,-
TOOL,Tooling & Workholding,Aditya Engimach Private Limited,http://www.adityainc.com,adityainc.com,https://www.linkedin.com/company/aditya-engimach-pvt-ltd,Aditya Engimach Pvt Ltd,Industrial Machinery Manufacturing,16,-,IN,Rajkot,"Aditya Engimach Pvt. Ltd. (AEPL) is a precision forging and custom machining company based out of Rajkot, India, serving over 50 global clients across critical sectors like Oil & G"
