name,domain,linkedin_url,industry,type,size,followers,founded_year,hq_city,hq_state,hq_country,website
Groupe Masci,masci.fr,https://www.linkedin.com/company/groupe-masci,Industrial Machinery Manufacturing,Privately Held,201-500,549,1979,Richemont,France,France,https://www.masci.fr
American Progress Group,americanprogressgroup.com,https://www.linkedin.com/company/american-progress-group,Industrial Machinery Manufacturing,Public Company,501-1000,549,-,Chicago,Illinois,United States,https://www.americanprogressgroup.com
SEKO Benelux,seko-group.com,https://www.linkedin.com/company/seko-benelux,Industrial Machinery Manufacturing,Privately Held,501-1000,543,1976,Oldenzaal,Overijssel,Netherlands,https://www.seko-group.com
EVOMAQ,evomaq.com.br,https://www.linkedin.com/company/evomaqoficial,Industrial Machinery Manufacturing,Privately Held,201-500,539,-,-,-,United States,https://evomaq.com.br
Afnan Agri Co.,afnanagrico.com,https://www.linkedin.com/company/afnanagrico,Agriculture; Construction; Mining Machinery Manufacturing,Partnership,501-1000,536,1979,-,-,United States,https://www.afnanagrico.com
Ornamental Decorative Millwork,ornamental.com,https://www.linkedin.com/company/ornamental,Wholesale Building Materials,Privately Held,201-500,536,1926,Archdale,North Carolina,United States,https://www.ornamental.com
Powerdrive Bearings Pvt Ltd,powerdrive.com,https://www.linkedin.com/company/powerdrive-bearings,Industrial Machinery Manufacturing,Privately Held,201-500,535,1981,Michigan City,Indiana,United States,https://www.powerdrive.com/contactusindia.aspx
Profilm Advanced Materials,profilmgrp.com,https://www.linkedin.com/company/profilm-advanced-materials,Motor Vehicle Manufacturing,Privately Held,201-500,535,2019,London,-,United Kingdom,https://profilmgrp.com
The Radiator Company,theradiatorcompany.co.uk,https://www.linkedin.com/company/the-radiator-company,Wholesale Building Materials,Privately Held,1001-5000,528,1998,East Grinstead,West Sussex,United Kingdom,https://www.theradiatorcompany.co.uk
ICAR- SA TUNISIE,icar-sa.org,https://www.linkedin.com/company/icar-sa,Motor Vehicle Manufacturing,Self-Employed,201-500,527,-,-,-,United States,https://icar-sa.org
"VIAM Manufacturing, Inc.",viammfg.com,https://www.linkedin.com/company/viammfg,Motor Vehicle Manufacturing,Privately Held,501-1000,521,-,Manchester,Tennessee,United States,https://www.viammfg.com
Mumford Metal Casting,mumfordmetalcasting.com,https://www.linkedin.com/company/mumford-metal-casting,Machinery Manufacturing,Privately Held,201-500,515,-,-,-,United States,https://www.mumfordmetalcasting.com
Röchling Automotive Americas,roechling.com,https://www.linkedin.com/company/roechling-automotive-americas,Motor Vehicle Manufacturing,Privately Held,5001-10000,514,-,Duncan,Caroline du Sud,United States,https://roechling.com
Processall,processall.com,https://www.linkedin.com/company/processall,Machinery Manufacturing,Privately Held,201-500,513,1996,Mason,Ohio,United States,https://www.processall.com
TEX GROUP,texgroup.co.uk,https://www.linkedin.com/company/tex-group-limited,Industrial Machinery Manufacturing,Privately Held,201-500,511,-,IPSWICH,-,United Kingdom,https://www.texgroup.co.uk
Road Development Corporation Ltd.,rdc.com.mv,https://www.linkedin.com/company/road-development-corporation,Machinery Manufacturing,Government Agency,201-500,510,2019,-,-,United States,https://www.rdc.com.mv
AnVa HordaGruppen,hordagruppen.com,https://www.linkedin.com/company/horda,Industrial Machinery Manufacturing,Privately Held,201-500,505,1974,Horda,Jönköping County,Sweden,https://hordagruppen.com
PCI Enterprises,pcienterprises.com,https://www.linkedin.com/company/pcienterprises,Wholesale Building Materials,Privately Held,201-500,502,1998,Heath,Texas,United States,https://www.pcienterprises.com
Stelter Zahnradfabrik GmbH,stelter.de,https://www.linkedin.com/company/stelter-zahnradfabrik-gmbh,Motor Vehicle Manufacturing,Public Company,201-500,497,1950,Bassum,Lower Saxony,Germany,https://www.stelter.de
Rolls-Royce Motor Cars Manchester,rolls-roycemotorcars-manchester.co.uk,https://www.linkedin.com/company/rolls-royce-manchester,Motor Vehicle Manufacturing,Privately Held,201-500,497,-,Wilmslow,-,United Kingdom,https://www.rolls-roycemotorcars-manchester.co.uk
Allied Gallery,alliedgallery.com,https://www.linkedin.com/company/allied-gallery,Wholesale Building Materials,Privately Held,501-1000,496,2010,Dallas,Texas,United States,https://alliedgallery.com
Elm Plating Company,elmplating.com,https://www.linkedin.com/company/elm-plating-company,Motor Vehicle Manufacturing,Sole Proprietorship,201-500,488,1951,Jackson,Michigan,United States,https://www.elmplating.com
Bell Audi,bellaudi.com,https://www.linkedin.com/company/bell-audi,Motor Vehicle Manufacturing,Privately Held,501-1000,488,-,United States,-,United States,https://www.bellaudi.com
Morobi Geeco Power Pty Ltd,morobi-geeco.com,https://www.linkedin.com/company/morobi-geeco-power-pty-ltd,Industrial Machinery Manufacturing,Privately Held,201-500,488,2013,-,-,United States,https://morobi-geeco.com
"Velocity, A Cogent Company",velocitypumprentals.com,https://www.linkedin.com/company/velocity-a-cogent-company,Industrial Machinery Manufacturing,Privately Held,201-500,485,2019,Riverside,Missouri,United States,https://velocitypumprentals.com
GENERAL RICAMBI SpA,generalricambi.it,https://www.linkedin.com/company/generalricambi,Motor Vehicle Manufacturing,Privately Held,201-500,483,1984,Castiglione d’Adda,Lombardy,Italy,https://www.generalricambi.it
ISA Will-DuPage,isawilldupage.org,https://www.linkedin.com/company/isa-will-dupage,Automation Machinery Manufacturing,Nonprofit,201-500,481,1991,Greater Chicago,Illinois,United States,https://isawilldupage.org
Nichol McKay Ltd,nicholmckay.com,https://www.linkedin.com/company/nichol-mckay,Industrial Machinery Manufacturing,Privately Held,201-500,479,1977,Monkton,Ayrshire,United Kingdom,https://www.nicholmckay.com
Moll Automobile GmbH & Co. KG,moll-automobile.de,https://www.linkedin.com/company/moll-automobile-gmbh-&-co-kg,Motor Vehicle Manufacturing,Sole Proprietorship,201-500,472,2006,Aachen,-,Germany,https://moll-automobile.de
"Kokusai, Inc.",kokusaiusa.com,https://www.linkedin.com/company/kokusai-inc-,Motor Vehicle Manufacturing,Public Company,201-500,472,-,Indianapolis,Indiana,United States,https://www.kokusaiusa.com
WITTENSTEIN alpha GmbH,wittenstein.de,https://www.linkedin.com/company/wittenstein-alpha-gmbh,Machinery Manufacturing,Public Company,201-500,470,-,Igersheim,Deutschland,Germany,https://alpha.wittenstein.de
BSM (British School of Motoring),bsm.co.uk,https://www.linkedin.com/company/british-school-of-motoring,Motor Vehicle Manufacturing,Privately Held,201-500,468,1910,Cardiff,-,United Kingdom,https://www.bsm.co.uk
Demar Plumbing Corp. / Demar Mechanical Inc.,demarnyc.com,https://www.linkedin.com/company/demar-plumbing-corp-,Industrial Machinery Manufacturing,Public Company,201-500,467,-,New York,-,United States,https://www.demarnyc.com
