name,domain,linkedin_url,industry,type,size,followers,founded_year,hq_city,hq_state,hq_country,website
"Kleemann, a Wirtgen Group company",wirtgen-group.com,https://www.linkedin.com/company/kleemann-wirtgen-group-company,Machinery Manufacturing,Public Company,501-1000,3464,-,-,-,United States,https://www.wirtgen-group.com/de-de/unternehmen/kleemann
MASA Equipos Industriales,masaequiposindustriales.com,https://www.linkedin.com/company/masa-equipos-industriales,Machinery Manufacturing,Privately Held,501-1000,3019,2021,-,-,United States,https://masaequiposindustriales.com
Maxcess Europe,maxcessintl.com,https://www.linkedin.com/company/maxcess-eu,Machinery Manufacturing,Privately Held,1001-5000,2739,1939,Kelkheim,Hesse,Germany,https://www.maxcessintl.com/locations
GRYB International,grybinternational.com,https://www.linkedin.com/company/gryb-international,Machinery Manufacturing,Partnership,501-1000,2300,2020,Victoriaville,Quebec,Canada,https://www.grybinternational.com
Georgsmarienhütte GmbH,gmh.de,https://www.linkedin.com/company/georgsmarienh-tte-gmbh,Industrial Machinery Manufacturing,Privately Held,1001-5000,1927,-,-,-,Germany,https://www.gmh.de
AlTaleb Group,altalebgroup.net,https://www.linkedin.com/company/altalebgroup,Agriculture; Construction; Mining Machinery Manufacturing,Privately Held,501-1000,1233,-,-,-,United States,https://altalebgroup.net
AHW LLC,ahwllc.com,https://www.linkedin.com/company/ahw-llc,Agriculture; Construction; Mining Machinery Manufacturing,Privately Held,501-1000,982,1932,Dwight,Illinois,United States,https://www.ahwllc.com
Vision Sugar Group,visionsugar.com,https://www.linkedin.com/company/vision-sugar-group,Agriculture; Construction; Mining Machinery Manufacturing,Privately Held,10001+,954,2024,-,-,United States,https://www.visionsugar.com
TREPAŞ,trepas.com.tr,https://www.linkedin.com/company/trepascomtr,Electric Power Transmission; Control; and Distribution,Privately Held,501-1000,952,-,-,-,United States,https://www.trepas.com.tr
Gainwell Group,gainwellglobal.com,https://www.linkedin.com/company/gainwell-group,Agriculture; Construction; Mining Machinery Manufacturing,Privately Held,1001-5000,905,-,-,-,United States,https://gainwellglobal.com
Agilitee Africa,agiltee.africa,https://www.linkedin.com/company/agilitee-africa,Automation Machinery Manufacturing,Privately Held,10001+,780,2020,-,-,United States,https://www.agiltee.africa
MEILLER Group,-,https://www.linkedin.com/company/meiller-group,Machinery Manufacturing,Privately Held,1001-5000,637,-,-,-,United States,-
roll forming machine cold roll forming machine sheet roll forming machine roll former,sinogroup.net,https://www.linkedin.com/company/roll-forming-machine,Machinery Manufacturing,Public Company,1001-5000,573,1980,-,-,United States,https://www.sinogroup.net
