name,domain,linkedin_url,industry,type,size,followers,founded_year,hq_city,hq_state,hq_country,website
Siemens,siemens.com,https://www.linkedin.com/company/siemens,Automation Machinery Manufacturing,Public Company,10001+,9196923,,Munich,,Germany,https://www.siemens.com
Ge,ge.com,https://www.linkedin.com/company/ge,Industrial Machinery Manufacturing,Public Company,10001+,5189121,,Boston,Massachusetts,United States,https://www.ge.com
Honeywell Technologies,honeywell.com,https://www.linkedin.com/company/honeywell,Automation Machinery Manufacturing,Public Company,10001+,3763665,,Charlotte,North Carolina,United States,https://www.honeywell.com
3M,3m.com,https://www.linkedin.com/company/3m,Industrial Machinery Manufacturing,Public Company,10001+,2443782,1902,St Paul,Minnesota,United States,https://www.3m.com/careers
Caterpillar Inc.,caterpillar.com,https://www.linkedin.com/company/caterpillar-inc,Machinery Manufacturing,Public Company,10001+,2342585,1925,Irving,Texas,United States,https://www.caterpillar.com
John Deere,deere.com,https://www.linkedin.com/company/john-deere,Machinery Manufacturing,Public Company,10001+,1895567,1837,Moline,Illinois,United States,https://www.deere.com/aboutus
Emerson,emerson.com,https://www.linkedin.com/company/emerson,Automation Machinery Manufacturing,Public Company,10001+,1675743,,St Louis,Missouri,United States,https://www.emerson.com
Rockwell Automation,rockwellautomation.com,https://www.linkedin.com/company/rockwell-automation,Automation Machinery Manufacturing,Public Company,10001+,1262378,,Milwaukee,Wisconsin,United States,https://www.rockwellautomation.com
Boston Dynamics,bostondynamics.com,https://www.linkedin.com/company/boston-dynamics,Automation Machinery Manufacturing,Privately Held,501-1000,665747,,Waltham,Massachusetts,United States,https://www.bostondynamics.com
Festo,festo.com,https://www.linkedin.com/company/festo,Automation Machinery Manufacturing,Privately Held,10001+,520562,1925,Esslingen,,Germany,https://www.festo.com
AGCO Corporation,agcocorp.com,https://www.linkedin.com/company/agco-corporation,Machinery Manufacturing,Public Company,10001+,478711,,Duluth,Georgia,United States,https://www.agcocorp.com
Parker Hannifin,parker.com,https://www.linkedin.com/company/parker-hannifin,Industrial Machinery Manufacturing,Public Company,10001+,467529,,Cleveland,Ohio,United States,https://www.parker.com/us/en/about-parker.html
Man Energy Solutions,man-es.com,https://www.linkedin.com/company/manenergysolutions,Industrial Machinery Manufacturing,Privately Held,10001+,455587,,Augsburg,,Germany,https://www.man-es.com
GEA Group,gea.com,https://www.linkedin.com/company/geagroup,Industrial Machinery Manufacturing,Public Company,10001+,439577,,Dusseldorf,North Rhine-Westphalia,Germany,https://www.gea.com
Flowserve Corporation,flowserve.com,https://www.linkedin.com/company/flowserve,Industrial Machinery Manufacturing,Public Company,10001+,437574,1997,Irving,Texas,United States,https://www.flowserve.com
Ingersoll Rand,irco.com,https://www.linkedin.com/company/ingersoll-rand,Industrial Machinery Manufacturing,Public Company,10001+,404276,,Davidson,North Carolina,United States,https://www.irco.com
Omron Automation,omron.com,https://www.linkedin.com/company/omron-automation-americas,Automation Machinery Manufacturing,Public Company,1001-5000,375576,,Hoffman Estates,Illinois,United States,https://automation.omron.com
Trane,trane.com,https://www.linkedin.com/company/trane,Industrial Machinery Manufacturing,Public Company,10001+,365421,1913,Davidson,North Carolina,United States,https://www.trane.com/commercial
Komatsu North America,komatsu.com,https://www.linkedin.com/company/komatsunorthamerica,Machinery Manufacturing,Public Company,10001+,357170,,Chicago,Illinois,United States,https://www.komatsu.com
Pentair,pentair.com,https://www.linkedin.com/company/pentair,Industrial Machinery Manufacturing,Public Company,5001-10000,326231,1966,London,,United Kingdom,https://www.pentair.com
FANUC America Corporation,fanucamerica.com,https://www.linkedin.com/company/fanuc-america-corporation,Automation Machinery Manufacturing,Privately Held,501-1000,296068,1982,Rochester Hills,Michigan,United States,https://www.fanucamerica.com
Trane Technologies,tranetechnologies.com,https://www.linkedin.com/company/tranetechnologies,Industrial Machinery Manufacturing,Public Company,10001+,289583,,Davidson,North Carolina,United States,https://www.tranetechnologies.com/en/index.html
Donaldson,donaldson.com,https://www.linkedin.com/company/donaldson,Industrial Machinery Manufacturing,Public Company,10001+,288789,1915,Bloomington,Minnesota,United States,https://www.donaldson.com
ITW,itw.com,https://www.linkedin.com/company/illinoistoolworks,Machinery Manufacturing,Public Company,10001+,248833,,Glenview,Illinois,United States,https://www.itw.com/careers/working-at-itw
TRUMPF,trumpf.com,https://www.linkedin.com/company/trumpf-se-co-kg,Machinery Manufacturing,Privately Held,10001+,246333,,Ditzingen,Baden-Wurttemberg,Germany,https://www.trumpf.com/s/impressum
DMG MORI,dmgmori.com,https://www.linkedin.com/company/dmgmori,Machinery Manufacturing,Public Company,10001+,243127,1870,Munich,Bavaria,Germany,https://www.dmgmori.com
KSB Company,ksb.com,https://www.linkedin.com/company/ksb,Industrial Machinery Manufacturing,Public Company,10001+,230353,,Frankenthal,Rheinland-Pfalz,Germany,https://www.ksb.com
Cognex Corporation,cognex.com,https://www.linkedin.com/company/cognex-corporation,Automation Machinery Manufacturing,Public Company,1001-5000,209996,1981,Natick,Massachusetts,United States,https://www.cognex.com
Kennametal,kennametal.com,https://www.linkedin.com/company/kennametal,Machinery Manufacturing,Public Company,10001+,208641,,Pittsburgh,Pennsylvania,United States,https://www.kennametal.com
Gates Corporation,gates.com,https://www.linkedin.com/company/gates-corporation,Automation Machinery Manufacturing,Public Company,10001+,206511,1911,Denver,Colorado,United States,https://www.gates.com/us/en.html
ESAB,esab.com,https://www.linkedin.com/company/esab,Machinery Manufacturing,Public Company,5001-10000,191040,,North Bethesda,Maryland,United States,https://www.esab.com
Terex Corporation,terex.com,https://www.linkedin.com/company/terex,Machinery Manufacturing,Public Company,5001-10000,188092,1933,Norwalk,Connecticut,United States,https://www.terex.com/en/careers
"SPX FLOW, now ITT Flow Technologies",spxflow.com,https://www.linkedin.com/company/spx-flow,Industrial Machinery Manufacturing,Privately Held,1001-5000,186976,,Charlotte,North Carolina,United States,https://www.spxflow.com
