name,domain,linkedin_url,industry,type,size,followers,founded_year,hq_city,hq_state,hq_country,website
Skydio,skydio.com,https://www.linkedin.com/company/skydio,Robotics Engineering,Privately Held,501-1000,142445,2014,San Mateo,California,United States,https://www.skydio.com
Ocean Infinity,oceaninfinity.com,https://www.linkedin.com/company/ocean-infinity-llc,Robotics Engineering,Privately Held,501-1000,71855,2017,Austin,Texas,United States,https://www.oceaninfinity.com
Walmart Advanced Systems & Robotics,walmartasr.com,https://www.linkedin.com/company/walmartasr,Robotics Engineering,Public Company,501-1000,6807,,Andover,Massachusetts,United States,https://www.walmartasr.com
Humanoid Robot Club Purdue,humanoidrobot.club,https://www.linkedin.com/company/humanoid-purdue,Robotics Engineering,Educational,501-1000,1485,2024,West Lafayette,Indiana,United States,https://www.humanoidrobot.club
Keenon Robotics Americas,keenon.com,https://www.linkedin.com/company/keenonrobotics-americas,Robotics Engineering,Self-Owned,1001-5000,752,2010,Los Angeles,California,United States,https://www.keenon.com
Gessmann Usa,gessmann.com,https://www.linkedin.com/company/gessmann-usa,Robotics Engineering,Privately Held,501-1000,275,1930,Charlotte,North Carolina,United States,https://www.gessmann.com
Samo Ai Corporation,replit.app,https://www.linkedin.com/company/samoaicorporation,Robotics Engineering,Privately Held,1001-5000,150,,Chicago,Illinois,United States,https://samo-ai.replit.app
Vfs Robotics,velmafactory.com,https://www.linkedin.com/company/vfs-robotics,Robotics Engineering,Privately Held,1001-5000,130,2020,Denver,Colorado,United States,
Jetx,jetxpress.com,https://www.linkedin.com/company/jetx-robotics,Robot Manufacturing,Privately Held,501-1000,111,2015,Las Vegas,Nevada,United States,https://www.jetxpress.com
Aitwobo,aitwobo.com,https://www.linkedin.com/company/aitwobo,Robotics Engineering,Public Company,10001+,98,2020,Swampscott,,United States,https://aitwobo.com
Annunakiagi,annunakiagi.com,https://www.linkedin.com/company/annunakiagi,Robotics Engineering,Privately Held,501-1000,94,2023,Alpharetta,Georgia,United States,https://www.annunakiagi.com
T4k - Collège Regina Assumpta,facebook.com,https://www.linkedin.com/company/team-3990,Robot Manufacturing,Educational,501-1000,89,2012,Montreal,Québec,Canada,https://www.facebook.com/team3990
