name,domain,linkedin_url,industry,type,size,followers,founded_year,hq_city,hq_state,hq_country,website
Ge,ge.com,https://www.linkedin.com/company/ge,Industrial Machinery Manufacturing,Public Company,10001+,5189121,,Boston,Massachusetts,United States,https://www.ge.com
Honeywell Technologies,honeywell.com,https://www.linkedin.com/company/honeywell,Automation Machinery Manufacturing,Public Company,10001+,3762655,,Charlotte,North Carolina,United States,https://www.honeywell.com
3M,3m.com,https://www.linkedin.com/company/3m,Industrial Machinery Manufacturing,Public Company,10001+,2443699,1902,St Paul,Minnesota,United States,https://www.3m.com/careers
Caterpillar Inc.,caterpillar.com,https://www.linkedin.com/company/caterpillar-inc,Machinery Manufacturing,Public Company,10001+,2341964,1925,Irving,Texas,United States,https://www.caterpillar.com
John Deere,deere.com,https://www.linkedin.com/company/john-deere,Machinery Manufacturing,Public Company,10001+,1894393,1837,Moline,Illinois,United States,https://www.deere.com/aboutus
Emerson,emerson.com,https://www.linkedin.com/company/emerson,Automation Machinery Manufacturing,Public Company,10001+,1675182,,St Louis,Missouri,United States,https://www.emerson.com
Rockwell Automation,rockwellautomation.com,https://www.linkedin.com/company/rockwell-automation,Automation Machinery Manufacturing,Public Company,10001+,1262378,,Milwaukee,Wisconsin,United States,https://www.rockwellautomation.com
AGCO Corporation,agcocorp.com,https://www.linkedin.com/company/agco-corporation,Machinery Manufacturing,Public Company,10001+,478711,,Duluth,Georgia,United States,https://www.agcocorp.com
Parker Hannifin,parker.com,https://www.linkedin.com/company/parker-hannifin,Industrial Machinery Manufacturing,Public Company,10001+,467276,,Cleveland,Ohio,United States,https://www.parker.com/us/en/about-parker.html
Flowserve Corporation,flowserve.com,https://www.linkedin.com/company/flowserve,Industrial Machinery Manufacturing,Public Company,10001+,437384,1997,Irving,Texas,United States,https://www.flowserve.com
Ingersoll Rand,irco.com,https://www.linkedin.com/company/ingersoll-rand,Industrial Machinery Manufacturing,Public Company,10001+,404173,,Davidson,North Carolina,United States,https://www.irco.com
Omron Automation,omron.com,https://www.linkedin.com/company/omron-automation-americas,Automation Machinery Manufacturing,Public Company,1001-5000,375048,,Hoffman Estates,Illinois,United States,https://automation.omron.com
Trane,trane.com,https://www.linkedin.com/company/trane,Industrial Machinery Manufacturing,Public Company,10001+,365421,1913,Davidson,North Carolina,United States,https://www.trane.com/commercial
Komatsu North America,komatsu.com,https://www.linkedin.com/company/komatsunorthamerica,Machinery Manufacturing,Public Company,10001+,357170,,Chicago,Illinois,United States,https://www.komatsu.com
Trane Technologies,tranetechnologies.com,https://www.linkedin.com/company/tranetechnologies,Industrial Machinery Manufacturing,Public Company,10001+,289411,,Davidson,North Carolina,United States,https://www.tranetechnologies.com/en/index.html
Donaldson,donaldson.com,https://www.linkedin.com/company/donaldson,Industrial Machinery Manufacturing,Public Company,10001+,288663,1915,Bloomington,Minnesota,United States,https://www.donaldson.com
ITW,itw.com,https://www.linkedin.com/company/illinoistoolworks,Machinery Manufacturing,Public Company,10001+,248752,,Glenview,Illinois,United States,https://www.itw.com/careers/working-at-itw
Cognex Corporation,cognex.com,https://www.linkedin.com/company/cognex-corporation,Automation Machinery Manufacturing,Public Company,1001-5000,209996,1981,Natick,Massachusetts,United States,https://www.cognex.com
Kennametal,kennametal.com,https://www.linkedin.com/company/kennametal,Machinery Manufacturing,Public Company,10001+,208641,,Pittsburgh,Pennsylvania,United States,https://www.kennametal.com
Gates Corporation,gates.com,https://www.linkedin.com/company/gates-corporation,Automation Machinery Manufacturing,Public Company,10001+,206374,1911,Denver,Colorado,United States,https://www.gates.com/us/en.html
ESAB,esab.com,https://www.linkedin.com/company/esab,Machinery Manufacturing,Public Company,5001-10000,191040,,North Bethesda,Maryland,United States,https://www.esab.com
Terex Corporation,terex.com,https://www.linkedin.com/company/terex,Machinery Manufacturing,Public Company,5001-10000,188052,1933,Norwalk,Connecticut,United States,https://www.terex.com/en/careers
"SPX FLOW, now ITT Flow Technologies",spxflow.com,https://www.linkedin.com/company/spx-flow,Industrial Machinery Manufacturing,Privately Held,1001-5000,186946,,Charlotte,North Carolina,United States,https://www.spxflow.com
Lincoln Electric,lincolnelectric.com,https://www.linkedin.com/company/lincoln-electric,Machinery Manufacturing,Public Company,10001+,183449,,Cleveland,Ohio,United States,https://www.lincolnelectric.com
SMC,smcusa.com,https://www.linkedin.com/company/smc,Automation Machinery Manufacturing,Public Company,10001+,181282,1959,Noblesville,Indiana,United States,https://www.smcusa.com
Daikin Applied Americas,daikinapplied.com,https://www.linkedin.com/company/daikin-applied,Industrial Machinery Manufacturing,Public Company,10001+,179173,1924,Minneapolis,Minnesota,United States,https://www.daikinapplied.com
"Haas Automation, Inc.",haascnc.com,https://www.linkedin.com/company/haas-automation,Machinery Manufacturing,Privately Held,1001-5000,171338,1983,Oxnard,California,United States,https://www.haascnc.com
Daikin Comfort,bit.ly,https://www.linkedin.com/company/daikin-comfort-technologies,Industrial Machinery Manufacturing,Public Company,10001+,171211,,Waller,Texas,United States,https://bit.ly/4mpvp7m
Dover Corporation,dovercorporation.com,https://www.linkedin.com/company/dovercorp,Machinery Manufacturing,Public Company,10001+,169618,,Downers Grove,Illinois,United States,https://www.dovercorporation.com
Husky Technologies,husky.co,https://www.linkedin.com/company/husky-technologies,Machinery Manufacturing,Privately Held,1001-5000,166260,,Bolton,Ontario,Canada,https://www.husky.co/en
Ritchie Bros.,rbauction.com,https://www.linkedin.com/company/ritchie-bros,Machinery Manufacturing,Public Company,1001-5000,166077,1958,Westchester,Illinois,United States,https://www.rbauction.com
Armstrong Fluid Technology,armstrongfluidtechnology.com,https://www.linkedin.com/company/armstrong-fluid-technology,Industrial Machinery Manufacturing,Privately Held,1001-5000,156190,1934,Toronto,Ontario,Canada,https://www.armstrongfluidtechnology.com
Bobcat Company,bobcat.com,https://www.linkedin.com/company/bobcat-company,Machinery Manufacturing,Public Company,1001-5000,155276,,West Fargo,North Dakota,United States,https://www.bobcat.com
The Timken Company,timken.com,https://www.linkedin.com/company/the-timken-company,Industrial Machinery Manufacturing,Public Company,10001+,150497,,North Canton,Ohio,United States,https://www.timken.com
Kubota Tractor Corporation,linktr.ee,https://www.linkedin.com/company/kubota-tractor-corporation,Machinery Manufacturing,Privately Held,1001-5000,140365,1972,Grapevine,Texas,United States,https://linktr.ee/kubotausa
"CIRCOR International, Inc.",circor.com,https://www.linkedin.com/company/circor-international-inc-,Industrial Machinery Manufacturing,Public Company,1001-5000,136330,,Burlington,Massachusetts,United States,https://www.circor.com
AGI - Ag Growth International,aggrowth.com,https://www.linkedin.com/company/aggrowthinternational,Industrial Machinery Manufacturing,Public Company,1001-5000,126776,,Winnipeg,Manitoba,Canada,https://www.aggrowth.com
JLG Industries,jlg.com,https://www.linkedin.com/company/jlg-industries,Machinery Manufacturing,Public Company,5001-10000,126271,1969,Mcconnellsburg,Pennsylvania,United States,https://www.jlg.com
3D Systems Corporation,3dsystems.com,https://www.linkedin.com/company/3d-systems,Industrial Machinery Manufacturing,Public Company,1001-5000,124558,1986,Rock Hill,South Carolina,United States,https://www.3dsystems.com
Kawasaki Robotics,kawasakirobotics.com,https://www.linkedin.com/company/kawasaki-robotics,Automation Machinery Manufacturing,Public Company,10001+,122671,,Wixom,Michigan,United States,https://www.kawasakirobotics.com
Miller Electric Mfg. LLC,millerwelds.com,https://www.linkedin.com/company/millerwelders,Machinery Manufacturing,Public Company,1001-5000,119898,,Appleton,Wisconsin,United States,https://www.millerwelds.com
Plug Power,plugpower.com,https://www.linkedin.com/company/plug-power,Industrial Machinery Manufacturing,Public Company,1001-5000,117150,1997,Latham,New York,United States,https://www.plugpower.com
