name,domain,linkedin_url,industry,type,size,followers,founded_year,hq_city,hq_state,hq_country,website
Edelbrock Group,edelbrockgroup.com,https://www.linkedin.com/company/edelbrock-group,Motor Vehicle Manufacturing,Privately Held,501-1000,8751,2020,Olive Branch,Mississippi,United States,https://www.edelbrockgroup.com
Musashi Americas,musashiamericas.com,https://www.linkedin.com/company/musashiamericas,Motor Vehicle Manufacturing,Public Company,10001+,8706,1938,Troy,Michigan,United States,https://musashiamericas.com
Zeigler Automotive Group,zeigler.com,https://www.linkedin.com/company/zeigler-auto-group,Motor Vehicle Manufacturing,Privately Held,1001-5000,8663,1975,Kalamazoo,Michigan,United States,https://www.zeigler.com
Lion Électrique,thelionelectric.com,https://www.linkedin.com/company/lion-electrique,Motor Vehicle Manufacturing,Public Company,501-1000,8627,2008,Saint-Jerome,Québec,Canada,https://thelionelectric.com/fr
Walser Automotive Group,walsercareers.com,https://www.linkedin.com/company/walser-automotive-group,Motor Vehicle Manufacturing,Privately Held,1001-5000,8612,1956,Bloomington,Minnesota,United States,https://www.walsercareers.com
Pittsburgh Glass Works,pgwglass.com,https://www.linkedin.com/company/vitropittsburghglassworks,Motor Vehicle Parts Manufacturing,Privately Held,1001-5000,8605,2008,Pittsburgh,Pennsylvania,United States,https://www.vitro.com/en/automotive-glass
Matcor-Matsu Group,matcor-matsu.com,https://www.linkedin.com/company/matcor-matsu-group,Motor Vehicle Manufacturing,Privately Held,1001-5000,8573,1991,Brampton,Ontario,Canada,https://www.matcor-matsu.com
Utilimaster,utilimaster.com,https://www.linkedin.com/company/utilimaster,Motor Vehicle Manufacturing,Public Company,1001-5000,8555,-,Bristol,Indiana,United States,https://www.utilimaster.com
"APCO Holdings, LLC",apcoholdings.com,https://www.linkedin.com/company/apco-holdings-inc.,Motor Vehicle Manufacturing,Privately Held,501-1000,8523,1984,Norcross,Georgia,United States,https://www.apcoholdings.com
Napleton Automotive Group,ednapleton.com,https://www.linkedin.com/company/napleton-auto-group,Motor Vehicle Manufacturing,Privately Held,1001-5000,8487,1931,Oakbrook Terrace,Illinois,United States,https://www.ednapleton.com
Acument Global Technologies,acument.com,https://www.linkedin.com/company/acument-global-technologies,Automotive,Privately Held,1001-5000,8481,-,Sterling Heights,Michigan,United States,https://www.acument.com
North American Stamping Group,nasg.net,https://www.linkedin.com/company/north-american-stamping-group,Motor Vehicle Manufacturing,Privately Held,501-1000,8255,1978,Portland,Tennessee,United States,https://nasg.net
Southern Tire Mart,stmtires.com,https://www.linkedin.com/company/southerntiremart,Motor Vehicle Manufacturing,Privately Held,10001+,8248,1973,Columbia,Mississippi,United States,https://stmtires.com
Dakkota Integrated Systems,dakkota.com,https://www.linkedin.com/company/dakkota-integrated-systems,Motor Vehicle Manufacturing,Privately Held,1001-5000,8251,2001,Holt,Michigan,United States,https://www.dakkota.com
Jje Technologies,jjeglobal.com,https://www.linkedin.com/company/jjeglobal,Motor Vehicle Manufacturing,Partnership,1001-5000,8188,-,Farmington Hills,Michigan,United States,https://www.jjeglobal.com
