name,domain,linkedin_url,industry,type,size,followers,founded_year,hq_city,hq_state,hq_country,website
Tesla,tesla.com,https://www.linkedin.com/company/tesla-motors,Motor Vehicle Manufacturing,Public Company,10001+,12404307,,Austin,Texas,United States,https://www.tesla.com/careers
Ford Motor Company,ford.com,https://www.linkedin.com/company/ford-motor-company,Motor Vehicle Manufacturing,Public Company,10001+,4496436,,Dearborn,Michigan,United States,https://www.careers.ford.com
General Motors,gm.com,https://www.linkedin.com/company/general-motors,Motor Vehicle Manufacturing,Public Company,10001+,3656252,,Detroit,Michigan,United States,https://www.gm.com
Ferrari,ferrari.com,https://www.linkedin.com/company/ferrari,Motor Vehicle Manufacturing,Public Company,1001-5000,2921803,1947,Maranello,Missouri,United States,https://www.ferrari.com
Cummins Inc.,cummins.com,https://www.linkedin.com/company/cummins-inc,Motor Vehicle Manufacturing,Public Company,10001+,1078812,,Columbus,Indiana,United States,https://www.cummins.com
Lear Corporation,lear.com,https://www.linkedin.com/company/lear-corporation,Motor Vehicle Manufacturing,Public Company,10001+,1054829,,Southfield,Michigan,United States,https://www.lear.com
Magna International,magna.com,https://www.linkedin.com/company/magna-international,Motor Vehicle Manufacturing,Public Company,10001+,952172,1957,Aurora,Ontario,Canada,https://www.magna.com
Pirelli,pirelli.com,https://www.linkedin.com/company/pirelli,Motor Vehicle Manufacturing,Public Company,10001+,911922,1872,Milano,Michigan,United States,https://www.pirelli.com
The Goodyear Tire & Rubber Company,goodyear.com,https://www.linkedin.com/company/goodyear,Motor Vehicle Manufacturing,Public Company,10001+,850918,,Akron,Ohio,United States,https://jobs.goodyear.com
Mercedes-Benz USA,mbusa.com,https://www.linkedin.com/company/mercedes-benz-usa,Motor Vehicle Manufacturing,Privately Held,1001-5000,820844,,Atlanta,Georgia,United States,https://www.mbusa.com
Rivian,rivian.com,https://www.linkedin.com/company/rivian,Motor Vehicle Manufacturing,Public Company,10001+,788903,2009,Irvine,California,United States,https://careers.rivian.com
Lucid Motors,lucidmotors.com,https://www.linkedin.com/company/lucidmotors,Motor Vehicle Manufacturing,Public Company,1001-5000,626921,2016,Newark,California,United States,https://www.lucidmotors.com
"American Honda Motor Company, Inc.",honda.com,https://www.linkedin.com/company/american-honda-motor-company-inc-,Motor Vehicle Manufacturing,Public Company,10001+,576747,,Torrance,California,United States,https://www.honda.com/careers
Toyota North America,toyota.com,https://www.linkedin.com/company/toyota-north-america,Motor Vehicle Manufacturing,Public Company,10001+,558755,1957,Plano,Texas,United States,https://careers.toyota.com/us/en
Tenneco,tenneco.com,https://www.linkedin.com/company/tenneco,Motor Vehicle Manufacturing,Privately Held,10001+,532307,,Northville,Michigan,United States,https://www.tenneco.com
BorgWarner,borgwarner.com,https://www.linkedin.com/company/borgwarner,Motor Vehicle Manufacturing,Public Company,10001+,464427,,Auburn Hills,Michigan,United States,https://borgwarner.com
DENSO,denso.com,https://www.linkedin.com/company/denso,Motor Vehicle Manufacturing,Public Company,10001+,404479,1947,Southfield,Michigan,United States,https://www.denso.com/us-ca/en
Chevrolet,chevrolet.com,https://www.linkedin.com/company/chevrolet,Motor Vehicle Manufacturing,Public Company,10001+,391903,1911,Detroit,Michigan,United States,https://www.chevrolet.com
Dana Incorporated,dana.com,https://www.linkedin.com/company/dana-incorporated,Motor Vehicle Manufacturing,Public Company,10001+,373931,,Maumee,Ohio,United States,https://www.dana.com
Bridgestone Americas,bridgestoneamericas.com,https://www.linkedin.com/company/bridgestone,Motor Vehicle Manufacturing,Privately Held,10001+,358427,,Nashville,Tennessee,United States,https://www.bridgestoneamericas.com/en/index
Harley-Davidson Motor Company,harley-davidson.com,https://www.linkedin.com/company/harley-davidson-motor-company,Motor Vehicle Manufacturing,Public Company,5001-10000,321160,1903,Milwaukee,Wisconsin,United States,https://www.harley-davidson.com
Visteon Corporation,visteon.com,https://www.linkedin.com/company/visteon,Motor Vehicle Parts Manufacturing,Public Company,10001+,294509,2000,Van Buren Township,Michigan,United States,https://www.visteon.com
Delphi,delphiaftermarket.com,https://www.linkedin.com/company/delphiautoparts,Motor Vehicle Manufacturing,Public Company,10001+,276438,,Auburn Hills,Michigan,United States,https://www.delphiaftermarket.com
BMW Group US,bmwusa.com,https://www.linkedin.com/company/bmwgroupus,Motor Vehicle Manufacturing,Privately Held,1001-5000,254295,,Woodcliff Lake,New Jersey,United States,https://www.bmwusa.com
Zoox,zoox.com,https://www.linkedin.com/company/zoox-inc,Automotive,Privately Held,1001-5000,253466,2014,Foster City,California,United States,https://www.zoox.com
"Volkswagen Of America, Inc",vw.com,https://www.linkedin.com/company/volkswagen-of-america-inc,Motor Vehicle Manufacturing,Public Company,1001-5000,215003,,Reston,Virginia,United States,https://www.vw.com
Adient,adient.com,https://www.linkedin.com/company/adient,Motor Vehicle Manufacturing,Public Company,10001+,212969,2016,Plymouth,Michigan,United States,https://www.adient.com
Nikola Corporation,nikolamotor.com,https://www.linkedin.com/company/nikola-motor-company,Motor Vehicle Manufacturing,Public Company,1001-5000,194035,,Phoenix,Arizona,United States,https://www.nikolamotor.com
Scout Motors Inc.,scoutmotors.com,https://www.linkedin.com/company/scoutmotors,Motor Vehicle Manufacturing,Privately Held,1001-5000,193649,2022,Detroit,Michigan,United States,https://www.scoutmotors.com
International,international.com,https://www.linkedin.com/company/theinternationalmotors,Motor Vehicle Manufacturing,Public Company,10001+,188887,,Lisle,Illinois,United States,https://www.international.com
Cruise,getcruise.com,https://www.linkedin.com/company/getcruise,Motor Vehicle Manufacturing,Privately Held,1001-5000,174011,2013,San Francisco,California,United States,https://getcruise.com
Nexteer Automotive,nexteer.com,https://www.linkedin.com/company/nexteer-automotive,Motor Vehicle Manufacturing,Public Company,10001+,173413,,Auburn Hills,Michigan,United States,https://nexteer.com
