company_name,standardised_domain,company_linkedin_tag,geography,company_size,industry
Fresh Public Relations Ltd,freshb2b.co.uk,fresh-b2b,GB,1-10,
Kula Partners,kulapartners.com,kula-partners,CA,11-50,
PDM Automotive,pdmautomotive.com,pdm-automotive,US,11-50,
Mages Consulting GmbH,mages-consulting.de,alexander-mages-consulting,DE,1-10,
Industrial CRM Advisory Group,crmadvisorygroup.com,,US,1-10,
Industrial Strength SEO,industrialstrengthseo.com,,US,11-50,
XD Innovation,xdinnovation.com,xd-innovation,US,51-200,
Key Technologies S.p.A.,keytech.co.id,keytechnologies,IT,51-200,
Subframe,subframe.co,subframeco,US,1-10,
Components Engine S.r.l.,3dengine.it,,IT,1-10,
Manufacturing Referral Network,mrngroups.com,mrngroups,US,1-10,
Automa.Net sp. z o. o,automa.net,automa-net,PL,11-50,
Digital Cube,digitalcube.ca,,US,1-10,
Index Search,indexsearch.com,indexsearch,US,1-10,
Heron Growth Partners,heron-growth.com,herongrowthpartnersllc,US,11-50,
ASAP Network,asapnetwork.org,asap-network-advanced-solutions-for-aftermarket-products,US,1-10,
INDUMERA,indumera.de,indumera,DE,1-10,
Wolk & Nikolic After Sales Intelligence,wolk-aftersales.com,wolk-after-sales-experts-gmbh,DE,11-50,
Silic W!,silogica.com.br,silogicaw,BR,11-50,
ProfitOptics,profitoptics.com,profitoptics-inc-,US,51-200,
ConsultoresWeb,consultoresweb.com.mx,consultores-web,MX,11-50,
Dealer's Boost,dealersboost.com,,US,1-10,
Edifice Auto Marketing,edificeautomarketing.com,edifice-group-inc-,US,11-50,
WorkManagement.Tools,workmanagement.tools,work-management-tools,NZ,1-10,
Quinbitt,kunbite.cn,,CN,1-10,
Lew Dennen,lewdennen.com,,,1-10,
SVM Industrial Marketing,svmsolutions.com,svm-e-marketing-solutions,US,11-50,
Infoways,info-ways.com,infoways,US,51-200,
Arkis,arkis.io,arkis-io,,1-10,
Benchmark Vision,benchmark-vision.com,benchmark-drives-inc,US,1-10,
Select Technology Group,stechnologygroup.com,,US,1-10,
Industriewegweiser,industrie-wegweiser.de,,DE,11-50,
Intretech Ltd.,intretech.com,intretech-hungary-kft,CN,201-500,
WSI,wsi-manufacturing-marketing.com,wsi-manufacturing-marketing,US,1-10,
Parts Dashboard,partsdashboard.com,parts-dashboard,US,1-10,
dnetwo,dnetwo.de,dnetwo,DE,1-10,
