company_name,standardised_domain,company_linkedin_tag,geography,company_size,industry
Chleys,chleys.com,chleys,MA,1-10,
3D-Vision,3d-vision.net,,,11-50,
Components Engine S.r.l.,3dengine.it,,IT,1-10,
3DPartFinder,3dpartfinder.com,3dsemantix,CA,1-10,
Digital Cube,digitalcube.ca,,US,1-10,
Co.Me. Engineering s.r.l.,come-engineering.it,,IT,11-50,
C-Systems Software Inc,csystemssoftware.com,c-systems-software-inc.,US,11-50,
6DR,6dr.io,6-degrees-research-llc,US,1-10,
ServiceCPQ,servicecpq.com,servicecpq,IN,1-10,
TriMech Group,solidsolutions.ie,solid-solutions-ireland,GB,51-200,
Automa.Net sp. z o. o,automa.net,automa-net,PL,11-50,
PARTsolutions,partsolutions.com.br,partsolutions-llc,BR,11-50,
CADENAS PARTsolutions,partsolutions.com,cadenas-usa,US,11-50,
Pricedex Software Inc.,pricedex.com,pricedex-software-inc,CA,11-50,
JSR Engineering,jsreng.com,,US,11-50,
EDA Data,edadata.com,edadata,US,1-10,
Intratech (Pty) Ltd,intratechsa.co.za,65495683,ZA,1-10,
TraceParts S.A.S.,traceparts.com,traceparts,US,51-200,
Mecanica Solutions Inc.,mecanicasolutions.com,mecanica-solutions,CA,201-500,
DMD 3D,dmd-us.com,dmd-usa,US,1-10,
Panguim,panguim.com,,US,11-50,
XD Innovation,xdinnovation.com,xd-innovation,US,51-200,
Industrial Cloud,indo.cloud,industrial-cloud,IT,1-10,
Edifice Auto Marketing,edificeautomarketing.com,edifice-group-inc-,US,11-50,
CADshare,cadshare.com,cadshare,GB,1-10,
Strata Advanced Manufacturing,strataam.com,stratamach-inc,US,1-10,
CAD3D.it,cad3d.it,cad3d-it,IT,1-10,
Solid System Team GmbH,solid-system-team.de,solid-system-team-gmbh,DE,11-50,
Profile S.a.s,studioprofile.it,profile-di-rocco-fabio-e-c-s-a-s,IT,1-10,
advancedPLM GmbH,advancedplm.eu,,DE,1-10,
Key Technologies S.p.A.,keytech.co.id,keytechnologies,IT,51-200,
"Target Management, Inc.",targetmanagementinc.com,,US,1-10,
TraceParts S.A.S.,traceparts.cn,,CN,1-10,
APMS Engineering Pvt. Ltd.,apmsengineering.com,apms-engineering-pvt-ltd,IN,1-10,
FARO Industries,faro.com,faro-benelux-b.v.,US,1001-5000,
Bluechip InfoCorp PVT. LTD,bluechipinfocorp.com,bluechip-corporation,IN,51-200,
APO Research,aporesearch.com,aporesearch,US,1-10,
Solid Ideas LLC,solidideasllc.com,3d-solid-ideas,US,1-10,
ASAP Network,asapnetwork.org,asap-network-advanced-solutions-for-aftermarket-products,US,1-10,
Zhejiang Flight Information Technology Limited,zfzzii.com,,CN,1-10,
DLK Auto Parts,dlkautoparts.com,,AU,1-10,
SKA,ska.com.br,ska-automacao-engenharias,BR,501-1000,
Quaintel Research,quaintel.com,quaintel-research-solutions,US,11-50,
Industrial Marketing,industrialmarketing.es,industrial-marketing-ventas,ES,1-10,
VIAS3D,vias3d.in,,IN,11-50,
Tung Yun Ji-wun,tengwangyun.com,,CN,1-10,
GoEngineer,goengineer.com,goengineer,US,501-1000,
3D Spark GmbH,3dspark.de,3dspark,DE,1-10,
"Wuxi XLM Co, Ltd",wxxlmkj.com,,US,1-10,
Industry X Consulting,industryxconsulting.com,,US,1-10,
Parts Dashboard,partsdashboard.com,parts-dashboard,US,1-10,
Threedy,threedy.io,threedy,DE,11-50,
ARIS Technology,aristechnology.com,aris-technology,US,11-50,
Clio-Soft,clio-soft.ru,,RU,11-50,
C3DI,c3di.fr,,FR,small,
APM Turbo,apmturbo.com,,CN,1-10,
MFG,mfg.com,mfgcom,US,501-1000,
KETIV,ketiv.com,ketiv-technologies-inc,US,51-200,
DECOUVERTES,decouvertes.in,decouvertes-future-tech-private-limited,IN,1-10,
2B Digital,2bdigital.eg,2bdigitalofficial,EG,51-200,
Quest Informatics Private Limited,questinformatics.com,quest-informatics-private-limited,IN,51-200,
"Target Systems, Inc.",targetsystemsinc.com,target-systems-inc-,US,1-10,
CADENAS,cadenas.de,cadenas-gmbh,DE,11-50,
Modelcam Technologies,modelcamtechnologies.com,modelcamtechnologies,IN,11-50,
CNC Marketer,cncmarketer.com,cncmarketer,CA,1-10,
Manufacturingview.Media,manufacturingview.media,manufacturingview-media,GB,11-50,
Quick Release (Automotive) Ltd,quickrelease.co.uk,quick-release-limited,GB,201-500,
Xtreme Technologies Group,xtechs.com,xtreme-technologies-group,US,1-10,
Optellix Services,optellix.com,optellix,IN,1-10,
Vision Benelux B. V.,visiativ.be,visiativ-benelux,BE,11-50,
CAD MicroSolutions Inc.,cadmicro.com,273576,CA,11-50,
SolidPro,solidpro-es.com,solidprogroup,US,11-50,
G-Automation inc.,g-automation.net,,US,1-10,
D2Mco,d2m-solutions.pk,the-design-to-manufacturing-co,AE,11-50,
SelectAM Oy,selectam.io,selectam,FI,1-10,
MAPPING,mappingai.io,,ZA,1-10,
Supply-Graph,supply-graph.io,supply-graph,FR,1-10,
EngineerX,theengineerx.com,the-engineerx,US,1-10,
Prizmetrics,prizmetrics.com,prizmetrics,US,1-10,
CUBICS,cubics.io,,US,1-10,
Easyworks,easyworks.es,1194913,ES,11-50,
Nuovamacut Automazione Spa,nuovamacut.it,nuovamacut-automazione-spa,IT,51-200,
dnetwo,dnetwo.de,dnetwo,DE,1-10,
CAD-IT UK Ltd.,cadituk.com,cad-it-europe,GB,51-200,
NC Lathe,nablal.com,,JP,11-50,
Object,object.pl,,PL,1-10,
NC Tech,nctech.mx,nctechmx,MX,51-200,
Alchemy Digital Agency,alquimiadigitalagency.com,alquimia-digital-agency,ES,1-10,
BrickCAD (Pvt.) Ltd.,brickcad.com,brickcad,PK,11-50,
Target for Engineering,target-for-engineering.com,,EG,11-50,
AMT - The Association For Manufacturing Technology,additivedatabase.com,,US,1-10,
Designfusion,designfusion.com,designfusion,US,51-200,
Adalisk,adalisk.ru,,RU,small,
"C&A Tool Engineering, Inc.",catool.com,c-&-a-tool-engineering-inc.,US,201-500,
Industrility,industrility.com,industrility,US,11-50,
"Prince Engineering, Inc.",princeengineering.com,,US,1-10,
TRM Design Bureau,trmkb.ru,,RU,1-10,
BLTEC,bltecsistemas.com.br,bltecsistemas,BR,11-50,
CAD Services,cadservices.nl,cad-services-nl,NL,11-50,
